benchmark,family_id,variant_count,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
gpqa-diamond,claude-3-7-sonnet,2,Claude 3.7 Sonnet,claude-3-7-sonnet,51493.26366477048,0.0,88506.73633522952,65.6,0.6559999999999999,88506.73633522952
gpqa-diamond,claude-3-7-sonnet,2,Claude 3.7Sonnet,claude-3-7-sonnet,49117.57967191924,1604632.0416360358,146250.378692045,77.2,0.772,1750882.420328081
gpqa-diamond,claude-4-5-haiku,2,Claude 4.5 Haiku,claude-4-5-haiku-reasoning,50138.104632969225,0.0,129861.89536703078,64.6,0.6459999999999999,129861.89536703078
gpqa-diamond,claude-4-5-haiku,2,Claude 4.5Haiku,claude-4-5-haiku-reasoning,49082.05083293651,2847876.8106989786,103041.13846808492,67.2,0.672,2950917.9491670635
gpqa-diamond,claude-4-5-sonnet,2,Claude 4.5 Sonnet,claude-4-5-sonnet-thinking,48720.678797689136,0.0,111279.32120231086,72.7,0.727,111279.32120231086
gpqa-diamond,claude-4-5-sonnet,2,Claude 4.5Sonnet,claude-4-5-sonnet-thinking,49088.52233909554,1948888.254961357,102023.22269954748,83.4,0.8340000000000001,2050911.4776609044
gpqa-diamond,claude-4-opus,2,Claude 4 Opus,claude-4-opus-thinking,47199.71900245818,0.0,92800.28099754182,70.1,0.701,92800.28099754182
gpqa-diamond,claude-4-opus,2,Claude 4Opus,claude-4-opus-thinking,,,,79.6,0.7959999999999999,
gpqa-diamond,claude-4-sonnet,2,Claude 4 Sonnet,claude-4-sonnet,47136.50255108637,0.0,102863.49744891362,68.3,0.6829999999999999,102863.49744891362
gpqa-diamond,claude-4-sonnet,2,Claude 4Sonnet,claude-4-sonnet,48714.69454295814,1759227.898277702,92057.40717933982,77.7,0.777,1851285.3054570416
gpqa-diamond,claude-opus-4-5,2,Claude Opus 4.5,claude-opus-4-5,47413.42723758489,0.0,122586.5727624151,81.0,0.81,122586.5727624151
gpqa-diamond,claude-opus-4-5,2,Claude Opus4.5,claude-opus-4-5,49777.41755150344,2642444.119195496,107778.4632530006,86.6,0.866,2750222.582448497
gpqa-diamond,claude-opus-4-6,2,Claude Opus 4.6(high),claude-opus-4-6,49437.74652457349,0.0,150562.25347542652,84.0,0.84,150562.25347542652
gpqa-diamond,claude-opus-4-6,2,Claude Opus4.6 (max),claude-opus-4-6-adaptive,48251.89713128696,3959454.325227609,92293.77764110328,89.6,0.8959999999999999,4051748.102868712
gpqa-diamond,claude-sonnet-4-6,2,Claude Sonnet 4.6(Non-reasoning),claude-sonnet-4-6,49633.01538179595,0.0,150366.98461820406,79.9,0.799,150366.98461820406
gpqa-diamond,claude-sonnet-4-6,2,ClaudeSonnet 4.6(max),claude-sonnet-4-6-adaptive,48644.47125076517,5350334.706202537,101020.82254669824,87.5,0.875,5451355.528749235
gpqa-diamond,deepseek-v3-1,2,DeepSeek V3.1,deepseek-v3-1,48814.42349233902,0.0,261185.57650766097,73.5,0.735,261185.57650766097
gpqa-diamond,deepseek-v3-1,2,DeepSeekV3.1,deepseek-v3-1,49674.51913644058,819313.3941361741,81012.08672738531,77.9,0.779,900325.4808635594
gpqa-diamond,deepseek-v3-1-terminus,2,DeepSeek V3.1Terminus,deepseek-v3-1-terminus,49557.20078271655,0.0,200442.79921728343,75.1,0.7509999999999999,200442.79921728343
gpqa-diamond,deepseek-v3-1-terminus,2,DeepSeekV3.1Terminus,deepseek-v3-1-terminus,47117.4464591916,875987.2875341859,76895.26600662258,79.2,0.792,952882.5535408084
gpqa-diamond,deepseek-v3-2,2,DeepSeek V3.2,deepseek-v3-2-reasoning,49081.2198148846,0.0,210918.7801851154,75.1,0.7509999999999999,210918.7801851154
gpqa-diamond,deepseek-v3-2,2,DeepSeekV3.2,deepseek-v3-2-reasoning,48682.04805715791,1425773.0549111408,25544.89703170119,84.0,0.84,1451317.951942842
