benchmark,family_id,variant_count,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
global-mmlu-lite,claude-opus-4-5,2,Claude Opus 4.5,claude-opus-4-5,3388758.6029274906,0.0,5711241.39707251,90.6,0.906,5711241.39707251
global-mmlu-lite,claude-opus-4-5,2,Claude Opus4.5,claude-opus-4-5,3443827.092730442,11151698.792756865,5404474.114512695,91.3,0.913,16556172.90726956
global-mmlu-lite,claude-opus-4-6,2,Claude Opus 4.6(high),claude-opus-4-6,3373127.292213071,0.0,5226872.707786929,90.6,0.906,5226872.707786929
global-mmlu-lite,claude-opus-4-6,2,Claude Opus4.6 (max),claude-opus-4-6-adaptive,3316830.660547821,5827964.152727153,4855205.186725026,92.2,0.922,10683169.33945218
global-mmlu-lite,claude-sonnet-4-6,2,Claude Sonnet 4.6(Non-reasoning),claude-sonnet-4-6,3404647.2374820705,0.0,4495352.76251793,89.2,0.892,4495352.76251793
global-mmlu-lite,claude-sonnet-4-6,2,ClaudeSonnet 4.6(max),claude-sonnet-4-6-adaptive,3304390.0569232986,8632595.66034407,5063014.282732631,90.5,0.905,13695609.9430767
global-mmlu-lite,deepseek-v3-2,2,DeepSeek V3.2,deepseek-v3-2-reasoning,3377831.416220752,0.0,2922168.5837792484,82.7,0.8270000000000001,2922168.5837792484
global-mmlu-lite,deepseek-v3-2,2,DeepSeekV3.2,deepseek-v3-2-reasoning,3464883.601128595,12230735.828211004,1304380.570660401,86.5,0.865,13535116.398871403
global-mmlu-lite,gpt-5,3,GPT-5 (minimal),gpt-5-minimal,3375193.611748786,0.0,1524806.3882512134,84.4,0.8440000000000001,1524806.3882512134
global-mmlu-lite,gpt-5,3,GPT-5(medium),gpt-5-medium,3499672.62183144,9713083.733893195,787243.6442753638,90.4,0.904,10500327.37816856
global-mmlu-lite,gpt-5,3,GPT-5 (high),gpt-5,3327702.1262729657,18911267.29762187,761030.5761051661,90.7,0.907,19672297.873727035
global-mmlu-lite,gpt-5-2,2,GPT-5.2,gpt-5-2-non-reasoning,3365661.736190317,0.0,1534338.2638096828,86.8,0.868,1534338.2638096828
global-mmlu-lite,gpt-5-2,2,GPT-5.2(medium),gpt-5-2-medium,3394635.017887546,1988014.6952807729,1617350.2868316812,89.8,0.898,3605364.9821124543
global-mmlu-lite,gpt-oss-120b,2,gpt-oss-120B(low),gpt-oss-120b-low,3373162.070152716,3845440.7508976087,281397.178949676,80.1,0.8009999999999999,4126837.9298472847
global-mmlu-lite,gpt-oss-120b,2,gpt-oss-120B(high),gpt-oss-120b,3377852.4155286,26042243.40951956,579904.1749518467,82.8,0.828,26622147.584471405
global-mmlu-lite,gpt-oss-20b,2,gpt-oss-20B(low),gpt-oss-20b-low,3383059.329589832,3897919.766518871,1019020.903891298,72.8,0.728,4916940.670410169
global-mmlu-lite,gpt-oss-20b,2,gpt-oss-20B(high),gpt-oss-20b,3361006.4587103403,16696669.801981326,942323.7393083316,75.2,0.752,17638993.541289657
global-mmlu-lite,grok-4-20-0309,2,Grok 4.20 0309,grok-4-20-0309-non-reasoning,3378212.778435537,0.0,4221787.221564463,83.1,0.831,4221787.221564463
global-mmlu-lite,grok-4-20-0309,2,Grok 4.200309,grok-4-20-0309-non-reasoning,3362424.293573912,19035180.346332576,3602395.360093511,89.5,0.895,22637575.706426088
global-mmlu-lite,k2-v2,3,K2-V2 (low),k2-v2-low,3383971.1037951736,1399121.32781398,216907.5683908464,71.4,0.7140000000000001,1616028.8962048264
global-mmlu-lite,k2-v2,3,K2-V2(medium),k2-v2-medium,3372215.38905013,5290364.006679461,237420.60427040915,76.7,0.767,5527784.61094987
global-mmlu-lite,k2-v2,3,K2-V2 (high),k2-v2,3378278.6772909025,26660649.99751828,961071.325190818,78.6,0.7859999999999999,27621721.3227091
global-mmlu-lite,nova-2-0-omni-reasoning,2,Nova 2.0Omni (low),nova-2-0-omni-reasoning-low,1129867.481644706,6207873.914793135,1562258.60356216,81.0,0.81,7770132.518355295
global-mmlu-lite,nova-2-0-omni-reasoning,2,Nova 2.0Omni(medium),nova-2-0-omni-reasoning-medium,1156098.0590991508,9834973.276537769,2008928.6643630825,81.0,0.81,11843901.940900853
global-mmlu-lite,qwen3-5-122b-a10b,2,Qwen3.5 122B A10B,qwen3-5-122b-a10b,3276369.634264613,0.0,7723630.365735387,85.9,0.8590000000000001,7723630.365735387
global-mmlu-lite,qwen3-5-122b-a10b,2,Qwen3.5 122BA10B,qwen3-5-122b-a10b,3413873.041500524,30601560.71697452,4984566.241524956,89.1,0.8909999999999999,35586126.95849948
global-mmlu-lite,qwen3-5-35b-a3b,2,Qwen3.5 35B A3B,qwen3-5-35b-a3b-non-reasoning,3405486.131490733,0.0,9594513.868509268,82.4,0.8240000000000001,9594513.868509268
global-mmlu-lite,qwen3-5-35b-a3b,2,Qwen3.5 35BA3B,qwen3-5-35b-a3b-non-reasoning,3357302.6705220034,31576503.428030983,5066193.901447015,86.4,0.8640000000000001,36642697.329478
global-mmlu-lite,qwen3-5-397b-a17b,2,Qwen3.5 397B A17B,qwen3-5-397b-a17b-non-reasoning,3493881.7009125333,0.0,7506118.299087466,86.5,0.865,7506118.299087466
global-mmlu-lite,qwen3-5-397b-a17b,2,Qwen3.5 397BA17B,qwen3-5-397b-a17b-non-reasoning,3402469.087505874,28645511.15398878,4952019.758505348,90.0,0.9,33597530.91249412
