benchmark,family_id,variant_count,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
ifbench,claude-3-7-sonnet,2,Claude 3.7 Sonnet,claude-3-7-sonnet,25302.931957064367,0.0,104697.06804293564,44.0,0.44,104697.06804293564
ifbench,claude-3-7-sonnet,2,Claude 3.7Sonnet,claude-3-7-sonnet,24481.391904347154,746218.9902361766,119299.61785947622,48.3,0.483,865518.6080956529
ifbench,claude-4-5-haiku,2,Claude 4.5 Haiku,claude-4-5-haiku-reasoning,24273.44521223944,0.0,135726.55478776057,42.0,0.42,135726.55478776057
ifbench,claude-4-5-haiku,2,Claude 4.5Haiku,claude-4-5-haiku-reasoning,24604.30557491491,2741347.307083444,134048.3873416418,54.3,0.5429999999999999,2875395.6944250856
ifbench,claude-4-5-sonnet,2,Claude 4.5 Sonnet,claude-4-5-sonnet-thinking,24440.58309347228,0.0,125559.41690652772,42.7,0.427,125559.41690652772
ifbench,claude-4-5-sonnet,2,Claude 4.5Sonnet,claude-4-5-sonnet-thinking,24831.307363076496,1156265.8653491065,118902.82728781732,57.3,0.573,1275168.692636924
ifbench,claude-4-opus,2,Claude 4 Opus,claude-4-opus-thinking,25499.94480104765,0.0,104500.05519895237,43.3,0.433,104500.05519895237
ifbench,claude-4-opus,2,Claude 4Opus,claude-4-opus-thinking,,,,53.7,0.537,
ifbench,claude-4-sonnet,2,Claude 4 Sonnet,claude-4-sonnet,25604.21251825417,0.0,124395.78748174582,45.4,0.4539999999999999,124395.78748174582
ifbench,claude-4-sonnet,2,Claude 4Sonnet,claude-4-sonnet,23539.514294684446,877033.3453317317,99427.14037358384,54.7,0.547,976460.4857053156
ifbench,claude-opus-4-5,2,Claude Opus 4.5,claude-opus-4-5,23788.12899573018,0.0,146211.8710042698,43.0,0.43,146211.8710042698
ifbench,claude-opus-4-5,2,Claude Opus4.5,claude-opus-4-5,24126.356170951723,1516541.789046735,159331.85478231328,58.0,0.58,1675873.6438290484
ifbench,claude-opus-4-6,2,Claude Opus 4.6(high),claude-opus-4-6,24131.07991284248,0.0,375868.9200871575,44.6,0.446,375868.9200871575
ifbench,claude-opus-4-6,2,Claude Opus4.6 (max),claude-opus-4-6-adaptive,24135.470122352268,2189220.6783464225,186643.851531225,53.1,0.531,2375864.529877648
ifbench,claude-sonnet-4-6,2,Claude Sonnet 4.6(Non-reasoning),claude-sonnet-4-6,24584.49825213574,0.0,235415.50174786427,41.2,0.412,235415.50174786427
ifbench,claude-sonnet-4-6,2,ClaudeSonnet 4.6(max),claude-sonnet-4-6-adaptive,23810.73083629589,4467877.329696997,208311.9394667068,56.6,0.5660000000000001,4676189.269163704
ifbench,deepseek-v3-1,2,DeepSeek V3.1,deepseek-v3-1,24795.12299958528,0.0,165204.8770004147,37.8,0.3779999999999999,165204.8770004147
ifbench,deepseek-v3-1,2,DeepSeekV3.1,deepseek-v3-1,25172.66330260949,143330.2894626262,151497.0472347643,41.5,0.415,294827.33669739054
ifbench,deepseek-v3-1-terminus,2,DeepSeek V3.1Terminus,deepseek-v3-1-terminus,23935.81811888776,0.0,156064.18188111225,41.2,0.412,156064.18188111225
ifbench,deepseek-v3-1-terminus,2,DeepSeekV3.1Terminus,deepseek-v3-1-terminus,24008.689956508228,1052804.829923395,123186.48012009678,57.0,0.57,1175991.310043492
ifbench,deepseek-v3-2,2,DeepSeek V3.2,deepseek-v3-2-reasoning,24366.29209029335,0.0,125633.70790970665,49.0,0.49,125633.70790970665
ifbench,deepseek-v3-2,2,DeepSeekV3.2,deepseek-v3-2-reasoning,24582.566689992564,831326.4401018469,84090.99320816042,60.7,0.607,915417.4333100072
ifbench,deepseek-v3-2-reasoning-0925,2,DeepSeek V3.2 Exp,deepseek-v3-2-reasoning-0925,25251.480004831392,0.0,144748.5199951686,43.1,0.431,144748.5199951686
ifbench,deepseek-v3-2-reasoning-0925,2,DeepSeekV3.2 Exp,deepseek-v3-2-reasoning-0925,24496.403594411782,869855.9445296798,105647.65187590836,54.1,0.541,975503.5964055882
