benchmark,family_id,variant_count,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
artificial-analysis-long-context-reasoning,claude-3-7-sonnet,2,Claude 3.7 Sonnet,claude-3-7-sonnet,9469021.016004331,0.0,30978.98399566857,48.3,0.483,30978.98399566857
artificial-analysis-long-context-reasoning,claude-3-7-sonnet,2,Claude 3.7Sonnet,claude-3-7-sonnet,9041791.703413518,133351.2331028583,24857.063483624104,60.7,0.607,158208.2965864824
artificial-analysis-long-context-reasoning,claude-4-5-haiku,2,Claude 4.5 Haiku,claude-4-5-haiku-reasoning,9475266.135299752,0.0,24733.864700246235,43.7,0.437,24733.864700246235
artificial-analysis-long-context-reasoning,claude-4-5-haiku,2,Claude 4.5Haiku,claude-4-5-haiku-reasoning,9463315.446492406,316207.80280221126,20476.75070538248,70.3,0.703,336684.5535075937
artificial-analysis-long-context-reasoning,claude-4-5-sonnet,2,Claude 4.5 Sonnet,claude-4-5-sonnet-thinking,9475467.437151318,0.0,24532.562848681453,51.3,0.513,24532.562848681453
artificial-analysis-long-context-reasoning,claude-4-5-sonnet,2,Claude 4.5Sonnet,claude-4-5-sonnet-thinking,9432408.927175475,148319.68873915786,19271.38408536674,65.7,0.657,167591.0728245246
artificial-analysis-long-context-reasoning,claude-4-opus,2,Claude 4 Opus,claude-4-opus-thinking,6978301.8589026,0.0,21698.141097400352,36.0,0.36,21698.141097400352
artificial-analysis-long-context-reasoning,claude-4-opus,2,Claude 4Opus,claude-4-opus-thinking,,,,33.7,0.337,
artificial-analysis-long-context-reasoning,claude-4-sonnet,2,Claude 4 Sonnet,claude-4-sonnet,9572526.7136274,0.0,27473.286372600425,44.3,0.4429999999999999,27473.286372600425
artificial-analysis-long-context-reasoning,claude-4-sonnet,2,Claude 4Sonnet,claude-4-sonnet,9651497.366227549,1138737.673023304,209764.96074914653,64.7,0.647,1348502.6337724505
artificial-analysis-long-context-reasoning,claude-opus-4-5,2,Claude Opus 4.5,claude-opus-4-5,9471749.240235262,0.0,28250.75976473838,65.3,0.653,28250.75976473838
artificial-analysis-long-context-reasoning,claude-opus-4-5,2,Claude Opus4.5,claude-opus-4-5,9433489.364786208,143911.1495427799,22599.48567101228,74.0,0.74,166510.63521379218
artificial-analysis-long-context-reasoning,claude-opus-4-6,2,Claude Opus 4.6(high),claude-opus-4-6,9472480.253045132,0.0,27519.7469548686,58.3,0.583,27519.7469548686
artificial-analysis-long-context-reasoning,claude-opus-4-6,2,Claude Opus4.6 (max),claude-opus-4-6-adaptive,9431176.141324248,244267.3572880252,24556.501387727523,70.7,0.7070000000000001,268823.8586757527
artificial-analysis-long-context-reasoning,claude-sonnet-4-6,2,Claude Sonnet 4.6(Non-reasoning),claude-sonnet-4-6,9470857.577646973,0.0,29142.42235302799,57.7,0.5770000000000001,29142.42235302799
artificial-analysis-long-context-reasoning,claude-sonnet-4-6,2,ClaudeSonnet 4.6(max),claude-sonnet-4-6-adaptive,9423541.217255024,446964.4905986435,29494.29214633244,70.7,0.7070000000000001,476458.782744976
artificial-analysis-long-context-reasoning,deepseek-v3-1,2,DeepSeek V3.1,deepseek-v3-1,9571738.130702354,0.0,28261.86929764605,45.0,0.45,28261.86929764605
artificial-analysis-long-context-reasoning,deepseek-v3-1,2,DeepSeekV3.1,deepseek-v3-1,9521892.416456696,60734.13224239872,17373.451300905097,53.3,0.5329999999999999,78107.58354330382
