benchmark,family_id,variant_count,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
humanitys-last-exam,claude-3-7-sonnet,2,Claude 3.7 Sonnet,claude-3-7-sonnet,635565.6660031793,0.0,1164434.3339968207,4.8,0.048,1164434.3339968207
humanitys-last-exam,claude-3-7-sonnet,2,Claude 3.7Sonnet,claude-3-7-sonnet,658230.5610479675,36019868.03604382,1321901.4029082072,10.3,0.103,37341769.43895203
humanitys-last-exam,claude-4-5-haiku,2,Claude 4.5 Haiku,claude-4-5-haiku-reasoning,679450.6718740636,0.0,1720549.3281259362,4.3,0.043,1720549.3281259362
humanitys-last-exam,claude-4-5-haiku,2,Claude 4.5Haiku,claude-4-5-haiku-reasoning,664096.1303693217,51994415.2876623,1341488.5819683827,9.7,0.0969999999999999,53335903.86963068
humanitys-last-exam,claude-4-5-sonnet,2,Claude 4.5 Sonnet,claude-4-5-sonnet-thinking,667185.469844544,0.0,1532814.530155456,7.1,0.071,1532814.530155456
humanitys-last-exam,claude-4-5-sonnet,2,Claude 4.5Sonnet,claude-4-5-sonnet-thinking,655001.824937706,35075330.946208164,1269667.228854134,17.3,0.173,36344998.1750623
humanitys-last-exam,claude-4-opus,2,Claude 4 Opus,claude-4-opus-thinking,657625.195006217,0.0,1342374.804993783,5.9,0.059,1342374.804993783
humanitys-last-exam,claude-4-opus,2,Claude 4Opus,claude-4-opus-thinking,,,,11.7,0.1169999999999999,
humanitys-last-exam,claude-4-sonnet,2,Claude 4 Sonnet,claude-4-sonnet,656241.3536033225,0.0,1443758.6463966772,4.0,0.04,1443758.6463966772
humanitys-last-exam,claude-4-sonnet,2,Claude 4Sonnet,claude-4-sonnet,649640.3324847663,32953135.475680165,1397224.1918350684,9.6,0.096,34350359.66751523
humanitys-last-exam,claude-opus-4-5,2,Claude Opus 4.5,claude-opus-4-5,659397.6135188991,0.0,1640602.386481101,12.9,0.129,1640602.386481101
humanitys-last-exam,claude-opus-4-5,2,Claude Opus4.5,claude-opus-4-5,658024.1914100474,44993180.32370692,1348795.4848830358,28.4,0.284,46341975.80858995
humanitys-last-exam,claude-opus-4-6,2,Claude Opus 4.6(high),claude-opus-4-6,658971.4582837973,0.0,2241028.5417162026,18.6,0.186,2241028.5417162026
humanitys-last-exam,claude-opus-4-6,2,Claude Opus4.6 (max),claude-opus-4-6-adaptive,645881.4649157187,108223897.4031206,1130221.1319636805,36.7,0.367,109354118.53508428
humanitys-last-exam,claude-sonnet-4-6,2,Claude Sonnet 4.6(Non-reasoning),claude-sonnet-4-6,661770.8531391337,0.0,2138229.1468608663,13.2,0.132,2138229.1468608663
humanitys-last-exam,claude-sonnet-4-6,2,ClaudeSonnet 4.6(max),claude-sonnet-4-6-adaptive,652564.5995542253,128333765.16847429,1013670.231971482,30.0,0.3,129347435.40044576
humanitys-last-exam,deepseek-v3-1,2,DeepSeek V3.1,deepseek-v3-1,664842.8994745367,0.0,3135157.1005254635,6.3,0.063,3135157.1005254635
humanitys-last-exam,deepseek-v3-1,2,DeepSeekV3.1,deepseek-v3-1,682478.333071548,21831157.2725171,486364.39441135246,13.0,0.13,22317521.66692845
humanitys-last-exam,deepseek-v3-1-terminus,2,DeepSeek V3.1Terminus,deepseek-v3-1-terminus,663434.6456188863,0.0,3936565.354381113,8.4,0.084,3936565.354381113
humanitys-last-exam,deepseek-v3-1-terminus,2,DeepSeekV3.1Terminus,deepseek-v3-1-terminus,671300.577935109,24797004.30119606,531695.1208688287,15.2,0.152,25328699.42206489
humanitys-last-exam,deepseek-v3-2,2,DeepSeek V3.2,deepseek-v3-2-reasoning,666816.8933368807,0.0,5933183.106663119,10.5,0.105,5933183.106663119
humanitys-last-exam,deepseek-v3-2,2,DeepSeekV3.2,deepseek-v3-2-reasoning,660756.0956555081,38901276.11431111,437967.7900333902,22.2,0.222,39339243.9043445
humanitys-last-exam,deepseek-v3-2-reasoning-0925,2,DeepSeek V3.2 Exp,deepseek-v3-2-reasoning-0925,661612.5486214778,0.0,3738387.4513785215,8.6,0.086,3738387.4513785215
humanitys-last-exam,deepseek-v3-2-reasoning-0925,2,DeepSeekV3.2 Exp,deepseek-v3-2-reasoning-0925,677869.3165602192,21775102.924801502,547027.7586382779,13.8,0.138,22322130.68343978
humanitys-last-exam,exaone-4-0-1-2b,2,Exaone 4.0 1.2B,exaone-4-0-1-2b,674244.8459344014,0.0,625755.1540655986,5.8,0.0579999999999999,625755.1540655986
humanitys-last-exam,exaone-4-0-1-2b,2,Exaone 4.01.2B,exaone-4-0-1-2b,666566.1698622003,17336123.000515927,997310.8296218752,5.8,0.0579999999999999,18333433.8301378
humanitys-last-exam,exaone-4-0-32b,2,EXAONE 4.0 32B,exaone-4-0-32b,667822.4605302238,0.0,2332177.539469776,4.9,0.049,2332177.539469776
humanitys-last-exam,exaone-4-0-32b,2,EXAONE 4.032B,exaone-4-0-32b,666148.165527331,31177278.07671516,1156573.757757512,10.5,0.105,32333851.83447267
humanitys-last-exam,gemini-2-5-flash-lite-preview-09-2025,2,Gemini 2.5Flash-Lite (Sep),gemini-2-5-flash-lite-preview-09-2025-reasoning,662762.6241769398,0.0,16337237.375823062,4.6,0.046,16337237.375823062
humanitys-last-exam,gemini-2-5-flash-lite-preview-09-2025,2,Gemini 2.5Flash-Lite(Sep),gemini-2-5-flash-lite-preview-09-2025-reasoning,657334.8153476795,20786658.290682595,2556006.8939697244,6.6,0.066,23342665.18465232
humanitys-last-exam,gemini-2-5-flash-preview-09-2025,2,Gemini 2.5 Flash(Sep),gemini-2-5-flash-preview-09-2025,649295.059479904,0.0,14350704.940520097,7.8,0.078,14350704.940520097
humanitys-last-exam,gemini-2-5-flash-preview-09-2025,2,Gemini 2.5Flash (Sep),gemini-2-5-flash-preview-09-2025,676889.9566802222,25553091.779101416,1770018.2642183602,12.7,0.127,27323110.043319777
humanitys-last-exam,gemini-2-5-flash-reasoning-04-2025,2,Gemini 2.5 Flash,gemini-2-5-flash-reasoning-04-2025,749579.0137647031,0.0,7250420.986235297,5.1,0.051,7250420.986235297
