benchmark,family_id,variant_count,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
aime-2025,claude-3-7-sonnet,2,Claude 3.7 Sonnet,claude-3-7-sonnet,4372.689551112594,0.0,27627.310448887405,21.0,0.21,27627.310448887405
aime-2025,claude-3-7-sonnet,2,Claude 3.7Sonnet,claude-3-7-sonnet,4322.61851287895,671456.4530734495,24220.928413671503,56.3,0.563,695677.3814871211
aime-2025,claude-4-5-haiku,2,Claude 4.5 Haiku,claude-4-5-haiku-reasoning,4358.049040511532,0.0,33641.950959488466,39.0,0.39,33641.950959488466
aime-2025,claude-4-5-haiku,2,Claude 4.5Haiku,claude-4-5-haiku-reasoning,,,,83.7,0.8370000000000001,
aime-2025,claude-4-5-sonnet,2,Claude 4.5 Sonnet,claude-4-5-sonnet-thinking,4249.816581070946,0.0,30750.183418929057,37.0,0.37,30750.183418929057
aime-2025,claude-4-5-sonnet,2,Claude 4.5Sonnet,claude-4-5-sonnet-thinking,,,,88.0,0.88,
aime-2025,claude-4-opus,2,Claude 4 Opus,claude-4-opus-thinking,4310.419681620667,0.0,32689.58031837933,36.3,0.363,32689.58031837933
aime-2025,claude-4-opus,2,Claude 4Opus,claude-4-opus-thinking,,,,73.3,0.733,
aime-2025,claude-4-sonnet,2,Claude 4 Sonnet,claude-4-sonnet,4371.886120996236,0.0,34628.113879003766,38.0,0.38,34628.113879003766
aime-2025,claude-4-sonnet,2,Claude 4Sonnet,claude-4-sonnet,,,,74.3,0.743,
aime-2025,claude-opus-4-5,2,Claude Opus 4.5,claude-opus-4-5,4349.477271414296,0.0,30650.522728585704,62.7,0.627,30650.522728585704
aime-2025,claude-opus-4-5,2,Claude Opus4.5,claude-opus-4-5,,,,91.3,0.913,
aime-2025,deepseek-v3-1,2,DeepSeek V3.1,deepseek-v3-1,4363.988383349292,0.0,79636.0116166507,49.7,0.497,79636.0116166507
