benchmark,train_flop_lo,train_flop_hi,inference_tokens_lo,inference_tokens_hi,n,n_top,top_mean_score
aime-2025,1e+21,1e+22,100000.0,316227.7660168379,1,1,0.023
aime-2025,1.0000000000000001e+23,1e+24,31622.776601683792,100000.0,1,1,0.18
aime-2025,1.0000000000000001e+23,1e+24,100000.0,316227.7660168379,2,2,0.593
aime-2025,1.0000000000000001e+23,1e+24,316227.7660168379,1000000.0,6,5,0.7171999999999998
aime-2025,1e+24,1e+25,10000.0,31622.776601683792,3,3,0.07999999999999997
aime-2025,1e+24,1e+25,31622.776601683792,100000.0,9,5,0.34320000000000006
aime-2025,1e+24,1e+25,100000.0,316227.7660168379,5,5,0.48460000000000003
aime-2025,1e+24,1e+25,316227.7660168379,1000000.0,14,5,0.9228
aime-2025,1e+25,1e+26,10000.0,31622.776601683792,1,1,0.03
aime-2025,1e+25,1e+26,100000.0,316227.7660168379,2,2,0.7785
aime-2025,1e+26,1e+27,100000.0,316227.7660168379,1,1,0.58
aime-2025,1e+26,1e+27,316227.7660168379,1000000.0,1,1,0.927
gpqa-diamond,1e+21,1e+22,1000.0,10000.0,1,1,0.2239999999999999
gpqa-diamond,1.0000000000000001e+23,1e+24,10000.0,100000.0,1,1,0.315
gpqa-diamond,1.0000000000000001e+23,1e+24,100000.0,1000000.0,3,3,0.6443333333333333
gpqa-diamond,1.0000000000000001e+23,1e+24,1000000.0,10000000.0,6,5,0.6621999999999999
gpqa-diamond,1e+24,1e+25,10000.0,100000.0,5,5,0.466
gpqa-diamond,1e+24,1e+25,100000.0,1000000.0,14,5,0.7726
gpqa-diamond,1e+24,1e+25,1000000.0,10000000.0,15,5,0.8128
gpqa-diamond,1e+25,1e+26,10000.0,100000.0,1,1,0.472
gpqa-diamond,1e+25,1e+26,100000.0,1000000.0,3,3,0.681
gpqa-diamond,1e+26,1e+27,100000.0,1000000.0,1,1,0.693
gpqa-diamond,1e+26,1e+27,1000000.0,10000000.0,1,1,0.877
humanitys-last-exam,1e+21,1e+22,1000000.0,10000000.0,1,1,0.042
humanitys-last-exam,1.0000000000000001e+23,1e+24,1000000.0,10000000.0,3,3,0.05266666666666663
humanitys-last-exam,1.0000000000000001e+23,1e+24,10000000.0,100000000.0,7,5,0.08119999999999998
humanitys-last-exam,1e+24,1e+25,100000.0,1000000.0,4,4,0.035750000000000004
humanitys-last-exam,1e+24,1e+25,1000000.0,10000000.0,12,5,0.08299999999999999
humanitys-last-exam,1e+24,1e+25,10000000.0,100000000.0,17,5,0.1858
humanitys-last-exam,1e+25,1e+26,100000.0,1000000.0,1,1,0.032
humanitys-last-exam,1e+25,1e+26,1000000.0,10000000.0,3,3,0.082
humanitys-last-exam,1e+26,1e+27,1000000.0,10000000.0,1,1,0.051
humanitys-last-exam,1e+26,1e+27,10000000.0,100000000.0,1,1,0.239
artificial-analysis-long-context-reasoning,1.0000000000000001e+23,1e+24,10000.0,100000.0,1,1,0.513
artificial-analysis-long-context-reasoning,1.0000000000000001e+23,1e+24,100000.0,1000000.0,2,2,0.45499999999999996
artificial-analysis-long-context-reasoning,1e+24,1e+25,1000.0,10000.0,1,1,0.023
artificial-analysis-long-context-reasoning,1e+24,1e+25,10000.0,100000.0,13,5,0.47400000000000003
artificial-analysis-long-context-reasoning,1e+24,1e+25,100000.0,1000000.0,14,5,0.646
artificial-analysis-long-context-reasoning,1e+25,1e+26,10000.0,100000.0,4,4,0.281
artificial-analysis-long-context-reasoning,1e+26,1e+27,10000.0,100000.0,1,1,0.547
artificial-analysis-long-context-reasoning,1e+26,1e+27,1000000.0,10000000.0,1,1,0.68
