model,benchmark,x_value,x_unit,score,score_unit,data_quality,source_detail,source_url,human_verified
Gemini 2.5 Flash,AIME 2025,1024.0,thinking_tokens,0.674,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
Gemini 2.5 Flash,AIME 2025,2048.0,thinking_tokens,0.69,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
Gemini 2.5 Flash,AIME 2025,4096.0,thinking_tokens,0.709,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
Gemini 2.5 Flash,AIME 2025,8192.0,thinking_tokens,0.81,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
Gemini 2.5 Flash,AIME 2025,16384.0,thinking_tokens,0.875,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
Gemini 2.5 Flash,AIME 2025,32768.0,thinking_tokens,0.88,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
Gemini 2.5 Flash,LiveCodeBench,1024.0,thinking_tokens,0.485,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
Gemini 2.5 Flash,LiveCodeBench,2048.0,thinking_tokens,0.509,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
Gemini 2.5 Flash,LiveCodeBench,4096.0,thinking_tokens,0.58,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
Gemini 2.5 Flash,LiveCodeBench,8192.0,thinking_tokens,0.729,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
Gemini 2.5 Flash,LiveCodeBench,16384.0,thinking_tokens,0.755,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
Gemini 2.5 Flash,LiveCodeBench,32768.0,thinking_tokens,0.76,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
Gemini 2.5 Flash,GPQA Diamond,1024.0,thinking_tokens,0.8,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
Gemini 2.5 Flash,GPQA Diamond,2048.0,thinking_tokens,0.803,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
