benchmark,family_id,variant_count,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
tau2-bench,claude-3-7-sonnet,2,Claude 3.7 Sonnet,claude-3-7-sonnet,25715760.547592103,0.0,284239.4524078953,50.0,0.5,284239.4524078953
tau2-bench,claude-3-7-sonnet,2,Claude 3.7Sonnet,claude-3-7-sonnet,26543536.306499973,144375.70947988573,312087.98402014223,54.7,0.547,456463.693500028
tau2-bench,claude-4-5-haiku,2,Claude 4.5 Haiku,claude-4-5-haiku-reasoning,24695631.57073704,0.0,304368.4292629614,32.5,0.325,304368.4292629614
tau2-bench,claude-4-5-haiku,2,Claude 4.5Haiku,claude-4-5-haiku-reasoning,29100953.342950232,348047.8455428216,550998.8115069463,54.7,0.547,899046.6570497679
tau2-bench,claude-4-5-sonnet,2,Claude 4.5 Sonnet,claude-4-5-sonnet-thinking,29683672.243351057,0.0,316327.75664894213,70.5,0.705,316327.75664894213
tau2-bench,claude-4-5-sonnet,2,Claude 4.5Sonnet,claude-4-5-sonnet-thinking,29311902.86158689,271401.2924953492,416695.8459177546,78.1,0.7809999999999999,688097.1384131038
tau2-bench,claude-4-sonnet,2,Claude 4 Sonnet,claude-4-sonnet,19774151.30843308,0.0,225848.6915669201,52.3,0.523,225848.6915669201
tau2-bench,claude-4-sonnet,2,Claude 4Sonnet,claude-4-sonnet,28457253.546762936,262774.4882645727,279971.9649724926,64.6,0.6459999999999999,542746.4532370653
tau2-bench,claude-opus-4-5,2,Claude Opus 4.5,claude-opus-4-5,27700431.066456143,0.0,299568.9335438571,86.3,0.863,299568.9335438571
tau2-bench,claude-opus-4-5,2,Claude Opus4.5,claude-opus-4-5,27499238.06236076,170373.32655586823,330388.61108337325,89.5,0.895,500761.9376392415
tau2-bench,claude-opus-4-6,2,Claude Opus 4.6(high),claude-opus-4-6,27741235.82868849,0.0,258764.1713115029,84.8,0.848,258764.1713115029
tau2-bench,claude-opus-4-6,2,Claude Opus4.6 (max),claude-opus-4-6-adaptive,27621985.12141076,81150.0568510837,296864.82173816016,92.1,0.921,378014.8785892439
tau2-bench,claude-sonnet-4-6,2,Claude Sonnet 4.6(Non-reasoning),claude-sonnet-4-6,28785006.86139115,0.0,214993.1386088528,79.5,0.795,214993.1386088528
tau2-bench,claude-sonnet-4-6,2,ClaudeSonnet 4.6(max),claude-sonnet-4-6-adaptive,29448018.481435444,174889.76399445554,377091.7545701014,75.7,0.757,551981.518564557
tau2-bench,deepseek-v3-1,2,DeepSeekV3.1,deepseek-v3-1,21827164.66850517,0.0,172835.331494831,37.4,0.374,172835.331494831
tau2-bench,deepseek-v3-1,2,DeepSeek V3.1,deepseek-v3-1,22817036.01591457,0.0,182963.98408541968,34.8,0.348,182963.98408541968
tau2-bench,deepseek-v3-1-terminus,2,DeepSeek V3.1Terminus,deepseek-v3-1-terminus,24756662.57746848,0.0,243337.42253151943,37.1,0.371,243337.42253151943
tau2-bench,deepseek-v3-1-terminus,2,DeepSeekV3.1Terminus,deepseek-v3-1-terminus,24756662.57746848,0.0,243337.42253151943,37.1,0.371,243337.42253151943
tau2-bench,deepseek-v3-2,2,DeepSeek V3.2,deepseek-v3-2-reasoning,27699727.761330817,0.0,300272.2386691832,78.9,0.789,300272.2386691832
tau2-bench,deepseek-v3-2,2,DeepSeekV3.2,deepseek-v3-2-reasoning,28331709.919381943,376720.0645494798,291570.0160685771,90.6,0.906,668290.0806180569
tau2-bench,deepseek-v3-2-reasoning-0925,2,DeepSeek V3.2 Exp,deepseek-v3-2-reasoning-0925,24766953.954784807,0.0,233046.0452151929,33.9,0.3389999999999999,233046.0452151929
tau2-bench,deepseek-v3-2-reasoning-0925,2,DeepSeekV3.2 Exp,deepseek-v3-2-reasoning-0925,24766953.954784807,0.0,233046.0452151929,33.9,0.3389999999999999,233046.0452151929
tau2-bench,exaone-4-0-1-2b,2,Exaone 4.0 1.2B,exaone-4-0-1-2b,25863472.326902296,0.0,136527.6730977009,20.5,0.205,136527.6730977009
tau2-bench,exaone-4-0-1-2b,2,Exaone 4.01.2B,exaone-4-0-1-2b,17462067.501075156,388039.3080073728,149893.19091747122,16.4,0.1639999999999999,537932.498924844
tau2-bench,exaone-4-0-32b,2,EXAONE 4.0 32B,exaone-4-0-32b,50700354.941718176,0.0,299645.05828182603,4.1,0.0409999999999999,299645.05828182603
tau2-bench,exaone-4-0-32b,2,EXAONE 4.032B,exaone-4-0-32b,27361044.42564476,1485519.9749263478,153435.5994288923,17.3,0.173,1638955.5743552402
tau2-bench,gemini-2-5-flash-lite-preview-09-2025,2,Gemini 2.5Flash-Lite (Sep),gemini-2-5-flash-lite-preview-09-2025-reasoning,20767371.31400633,0.0,232628.68599366964,30.4,0.304,232628.68599366964
tau2-bench,gemini-2-5-flash-lite-preview-09-2025,2,Gemini 2.5Flash-Lite(Sep),gemini-2-5-flash-lite-preview-09-2025-reasoning,18354880.908106424,457339.7817856766,187779.3101078985,30.7,0.307,645119.0918935752
tau2-bench,gemini-2-5-flash-preview-09-2025,2,Gemini 2.5 Flash(Sep),gemini-2-5-flash-preview-09-2025,19840365.16647105,0.0,159634.83352895296,28.4,0.284,159634.83352895296
tau2-bench,gemini-2-5-flash-preview-09-2025,2,Gemini 2.5Flash (Sep),gemini-2-5-flash-preview-09-2025,23677871.070640787,149482.62445300876,172646.30490620423,45.6,0.456,322128.929359213
tau2-bench,gemini-2-5-flash-reasoning-04-2025,2,Gemini 2.5 Flash,gemini-2-5-flash-reasoning-04-2025,3886055.6269185897,0.0,13944.37308141047,14.9,0.149,13944.37308141047
tau2-bench,gemini-2-5-flash-reasoning-04-2025,2,Gemini 2.5Flash,gemini-2-5-flash-reasoning-04-2025,17552428.309916325,342822.63418349647,104749.05590017932,31.6,0.316,447571.6900836758
tau2-bench,gemini-3-flash,2,Gemini 3 Flash,gemini-3-flash-reasoning,23837602.35058847,0.0,162397.6494115296,43.3,0.433,162397.6494115296
tau2-bench,gemini-3-flash,2,Gemini 3Flash,gemini-3-flash-reasoning,33061274.772107743,724096.0192064852,214629.20868576583,80.4,0.804,938725.2278922512
tau2-bench,gemini-3-pro,2,Gemini 3 ProPreview(low),gemini-3-pro-low,19381170.40735889,495755.4663855766,123074.12625553447,68.1,0.6809999999999999,618829.592641111
