benchmark,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
livecodebench,Apriel-v1.5-15B-Thinker,apriel-v1-5-15b-thinker,518639.82345447154,11358484.791831857,1122875.3847136735,72.8,0.728,12481360.17654553
livecodebench,Apriel-v1.6-15B-Thinker,apriel-v1-6-15b-thinker,487765.1033499387,10095305.420586832,416929.4760632285,80.7,0.807,10512234.89665006
livecodebench,Claude 2.0,claude-2,510829.9393928767,0.0,169170.0606071233,17.1,0.171,169170.0606071233
livecodebench,Claude 2.1,claude-21,511979.03456008615,0.0,228020.96543991385,19.5,0.195,228020.96543991385
livecodebench,Claude 3 Haiku,claude-3-haiku,510740.1556551122,0.0,349259.84434488777,15.4,0.154,349259.84434488777
livecodebench,Claude 3 Opus,claude-3-opus,514988.2984680397,0.0,465011.7015319602,27.9,0.2789999999999999,465011.7015319602
livecodebench,Claude 3 Sonnet,claude-3-sonnet,514661.4906799524,0.0,435338.5093200476,17.5,0.175,435338.5093200476
livecodebench,Claude 3.5 Haiku,claude-3-5-haiku,564263.8349310989,0.0,635736.1650689011,31.4,0.314,635736.1650689011
livecodebench,Claude 3.5 Sonnet(Oct),claude-35-sonnet,489320.822247988,0.0,510679.177752012,38.1,0.381,510679.177752012
livecodebench,Claude 3.7 Sonnet,claude-3-7-sonnet,500748.4956927333,0.0,999251.5043072668,39.4,0.3939999999999999,999251.5043072668
livecodebench,Claude 3.7Sonnet,claude-3-7-sonnet,501042.4814981481,10206445.319986552,292512.1985153005,47.3,0.473,10498957.518501852
livecodebench,Claude 4 Opus,claude-4-opus-thinking,525949.9063515804,0.0,574050.0936484195,54.2,0.542,574050.0936484195
livecodebench,Claude 4 Sonnet,claude-4-sonnet,407174.5306548921,0.0,522825.4693451079,44.9,0.449,522825.4693451079
livecodebench,Claude 4.1Opus,claude-4-1-opus-thinking,479793.184833553,2925082.5060504503,495124.309115997,65.4,0.654,3420206.815166448
livecodebench,Claude 4.5 Haiku,claude-4-5-haiku-reasoning,509802.02441734174,0.0,890197.9755826583,51.1,0.511,890197.9755826583
