benchmark,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
mmmu-pro,Apriel-v1.5-15B-Thinker,apriel-v1-5-15b-thinker,2613704.5661600227,11256682.581974782,129612.85186519493,57.0,0.57,11386295.433839977
mmmu-pro,Claude 3 Haiku,claude-3-haiku,1275846.2301580482,0.0,124153.7698419517,31.0,0.31,124153.7698419517
mmmu-pro,Claude 3.5 Haiku,claude-3-5-haiku,328219.915347,0.0,331780.084653,46.0,0.46,331780.084653
mmmu-pro,Claude 3.7 Sonnet,claude-3-7-sonnet,327079.40541830094,0.0,472920.5945816991,60.0,0.6,472920.5945816991
mmmu-pro,Claude 4 Sonnet,claude-4-sonnet,326586.6062633691,0.0,593413.3937366309,62.0,0.62,593413.3937366309
mmmu-pro,Claude 4.1Opus,claude-4-1-opus-thinking,,,,68.0,0.68,
mmmu-pro,Claude 4.5 Haiku,claude-4-5-haiku-reasoning,1186267.5870559337,0.0,613732.4129440663,55.0,0.55,613732.4129440663
mmmu-pro,Claude 4.5 Sonnet,claude-4-5-sonnet-thinking,1179840.4391739585,0.0,620159.560826042,65.0,0.65,620159.560826042
mmmu-pro,Claude 4.5Haiku,claude-4-5-haiku-reasoning,1426374.8006656228,11002442.413159195,571182.7861751787,59.0,0.59,11573625.199334374
mmmu-pro,Claude 4.5Sonnet,claude-4-5-sonnet-thinking,1348804.1871308011,8088377.929563941,562817.8833052575,69.0,0.69,8651195.812869199
mmmu-pro,Claude 4Sonnet,claude-4-sonnet,321697.02808717976,1440976.6120390468,437326.3598737734,62.0,0.62,1878302.9719128204
mmmu-pro,Claude Opus 4.5,claude-opus-4-5,1177427.8798038398,0.0,722572.1201961602,71.0,0.71,722572.1201961602
mmmu-pro,Claude Opus 4.6(high),claude-opus-4-6,1112154.5529743603,0.0,687845.4470256395,73.0,0.73,687845.4470256395
mmmu-pro,Claude Opus4.5,claude-opus-4-5,1387605.5684469286,11040446.00874505,571948.422808021,74.0,0.74,11612394.431553071
mmmu-pro,Claude Opus4.6 (max),claude-opus-4-6-adaptive,,,,75.0,0.75,
mmmu-pro,Claude Sonnet 4.6(Non-reasoning),claude-sonnet-4-6,1114963.5147925385,0.0,685036.4852074616,71.0,0.71,685036.4852074616
mmmu-pro,"Claude Sonnet 4.6(Non-reasoning,Low Effort)",claude-sonnet-4-6-non-reasoning-low-effort,1151786.3046760492,0.0,348213.6953239509,69.0,0.69,348213.6953239509
mmmu-pro,ClaudeSonnet 4.6(max),claude-sonnet-4-6-adaptive,,,,73.0,0.73,
mmmu-pro,Devstral Small 2,devstral-small-2,1237808.9621274248,0.0,662191.0378725751,45.0,0.45,662191.0378725751
mmmu-pro,Doubao SeedCode,doubao-seed-code,1147863.5368547232,3776219.301286082,575917.1618591951,68.0,0.68,4352136.4631452765
mmmu-pro,ERNIE 5.0ThinkingPreview,ernie-5-0-thinking-preview,1146619.5787872036,2908138.127942177,545242.2932706188,65.0,0.65,3453380.421212796
mmmu-pro,GLM 5V Turbo,glm-5v-turbo,1349313.3100637028,5025698.225568248,624988.4643680501,73.0,0.73,5650686.689936298
mmmu-pro,GLM-4.5V,glm-4-5v,1318567.1631232176,2352192.7705705846,429240.06630619714,50.0,0.5,2781432.8368767817
mmmu-pro,GLM-4.6V,glm-4-6v-reasoning,1338388.4201528456,3392963.029914896,168648.54993225803,49.0,0.49,3561611.579847154
mmmu-pro,GPT-4.1,gpt-4-1,310313.4675483025,0.0,689686.5324516974,61.0,0.61,689686.5324516974
mmmu-pro,GPT-4.1 mini,gpt-4-1-mini,326950.28117111407,0.0,773049.7188288859,59.0,0.59,773049.7188288859
mmmu-pro,GPT-4.1 nano,gpt-4-1-nano,2224364.409811003,0.0,475635.59018899663,40.0,0.4,475635.59018899663
