benchmark,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
humanitys-last-exam,Apertus 70BInstruct,apertus-70b-instruct,666690.270785626,0.0,4333309.729214374,5.5,0.055,4333309.729214374
humanitys-last-exam,Apertus 8BInstruct,apertus-8b-instruct,652274.5088038928,0.0,1147725.4911961074,5.0,0.05,1147725.4911961074
humanitys-last-exam,Apriel-v1.5-15B-Thinker,apriel-v1-5-15b-thinker,645145.4042746235,41343538.2416889,11316.35403647478,12.0,0.12,41354854.59572537
humanitys-last-exam,Apriel-v1.6-15B-Thinker,apriel-v1-6-15b-thinker,668053.2612894833,22953183.508956764,378763.229753752,9.8,0.098,23331946.738710515
humanitys-last-exam,Claude 2.1,claude-21,651133.6659318195,0.0,648866.3340681806,4.2,0.042,648866.3340681806
humanitys-last-exam,Claude 3 Haiku,claude-3-haiku,676436.1122146233,0.0,523563.8877853768,3.9,0.039,523563.8877853768
humanitys-last-exam,Claude 3 Opus,claude-3-opus,749267.4812942249,0.0,1050732.5187057753,3.1,0.031,1050732.5187057753
humanitys-last-exam,Claude 3 Sonnet,claude-3-sonnet,673103.9021294095,0.0,826896.0978705904,3.8,0.038,826896.0978705904
humanitys-last-exam,Claude 3.5 Haiku,claude-3-5-haiku,745279.7856122438,0.0,754720.2143877562,3.5,0.035,754720.2143877562
humanitys-last-exam,Claude 3.5 Sonnet(June),claude-35-sonnet-june-24,641928.6732081458,0.0,1058071.326791854,3.7,0.037,1058071.326791854
humanitys-last-exam,Claude 3.5 Sonnet(Oct),claude-35-sonnet,760090.8709940539,0.0,839909.1290059461,3.9,0.039,839909.1290059461
humanitys-last-exam,Claude 3.7 Sonnet,claude-3-7-sonnet,635565.6660031793,0.0,1164434.3339968207,4.8,0.048,1164434.3339968207
humanitys-last-exam,Claude 3.7Sonnet,claude-3-7-sonnet,658230.5610479675,36019868.03604382,1321901.4029082072,10.3,0.103,37341769.43895203
humanitys-last-exam,Claude 4 Opus,claude-4-opus-thinking,657625.195006217,0.0,1342374.804993783,5.9,0.059,1342374.804993783
humanitys-last-exam,Claude 4 Sonnet,claude-4-sonnet,656241.3536033225,0.0,1443758.6463966772,4.0,0.04,1443758.6463966772
humanitys-last-exam,Claude 4.1Opus,claude-4-1-opus-thinking,,,,11.9,0.119,
humanitys-last-exam,Claude 4.5 Haiku,claude-4-5-haiku-reasoning,679450.6718740636,0.0,1720549.3281259362,4.3,0.043,1720549.3281259362
humanitys-last-exam,Claude 4.5 Sonnet,claude-4-5-sonnet-thinking,667185.469844544,0.0,1532814.530155456,7.1,0.071,1532814.530155456
humanitys-last-exam,Claude 4.5Haiku,claude-4-5-haiku-reasoning,664096.1303693217,51994415.2876623,1341488.5819683827,9.7,0.0969999999999999,53335903.86963068
humanitys-last-exam,Claude 4.5Sonnet,claude-4-5-sonnet-thinking,655001.824937706,35075330.946208164,1269667.228854134,17.3,0.173,36344998.1750623
humanitys-last-exam,Claude 4Opus,claude-4-opus-thinking,,,,11.7,0.1169999999999999,
humanitys-last-exam,Claude 4Sonnet,claude-4-sonnet,649640.3324847663,32953135.475680165,1397224.1918350684,9.6,0.096,34350359.66751523
humanitys-last-exam,Claude Instant,claude-instant,654655.1131291334,0.0,315344.8868708666,3.8,0.038,315344.8868708666
humanitys-last-exam,Claude Opus 4.5,claude-opus-4-5,659397.6135188991,0.0,1640602.386481101,12.9,0.129,1640602.386481101
humanitys-last-exam,Claude Opus 4.6(high),claude-opus-4-6,658971.4582837973,0.0,2241028.5417162026,18.6,0.186,2241028.5417162026
humanitys-last-exam,Claude Opus4.5,claude-opus-4-5,658024.1914100474,44993180.32370692,1348795.4848830358,28.4,0.284,46341975.80858995
humanitys-last-exam,Claude Opus4.6 (max),claude-opus-4-6-adaptive,645881.4649157187,108223897.4031206,1130221.1319636805,36.7,0.367,109354118.53508428
