benchmark,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
math-500,Claude 2.1,claude-21,50204.09359009402,0.0,99795.90640990596,37.4,0.374,99795.90640990596
math-500,Claude 3 Haiku,claude-3-haiku,150130.87849731714,0.0,409869.12150268286,39.4,0.3939999999999999,409869.12150268286
math-500,Claude 3 Opus,claude-3-opus,51386.2211093133,0.0,178613.7788906867,64.1,0.6409999999999999,178613.7788906867
math-500,Claude 3 Sonnet,claude-3-sonnet,151061.57794850197,0.0,538938.4220514981,41.4,0.414,538938.4220514981
math-500,Claude 3.5 Haiku,claude-3-5-haiku,50544.25303071709,0.0,169455.74696928292,72.1,0.721,169455.74696928292
math-500,Claude 3.5 Sonnet(June),claude-35-sonnet-june-24,50290.480205329884,0.0,159709.5197946701,69.5,0.695,159709.5197946701
math-500,Claude 3.5 Sonnet(Oct),claude-35-sonnet,50750.10296069154,0.0,169249.89703930845,77.1,0.7709999999999999,169249.89703930845
math-500,Claude 3.7 Sonnet,claude-3-7-sonnet,50979.57575189833,0.0,259020.42424810168,85.0,0.85,259020.42424810168
math-500,Claude 3.7Sonnet,claude-3-7-sonnet,51352.59969868758,2628982.2126423125,219665.18765899973,94.7,0.947,2848647.400301312
math-500,Claude 4 Opus,claude-4-opus-thinking,47484.21760780363,0.0,282515.7823921964,94.1,0.941,282515.7823921964
math-500,Claude 4 Sonnet,claude-4-sonnet,48581.69732135296,0.0,311418.30267864704,93.4,0.934,311418.30267864704
math-500,Claude 4Opus,claude-4-opus-thinking,49614.817952881735,783042.3874414552,267342.7946056631,98.2,0.982,1050385.1820471182
math-500,Claude 4Sonnet,claude-4-sonnet,46331.31596252079,984278.6411609112,269390.0428765681,99.1,0.991,1253668.684037479
math-500,Claude Instant,claude-instant,152749.71982590132,0.0,227250.28017409868,26.4,0.264,227250.28017409868
math-500,Command A,command-a,48322.20638855807,0.0,261677.793611442,81.9,0.8190000000000001,261677.793611442
math-500,Command-R (Mar),command-r-03-2024,144911.1550321393,0.0,385088.8449678607,16.4,0.1639999999999999,385088.8449678607
math-500,Command-R+ (Apr),command-r-plus-04-2024,52506.63852386479,0.0,127493.3614761352,27.9,0.2789999999999999,127493.3614761352
math-500,DBRX,dbrx,169930.83335378484,0.0,560069.1666462151,27.9,0.2789999999999999,560069.1666462151
math-500,DeepHermes 3 -Llama-3.1 8B,,50799.405177657885,0.0,259200.59482234213,21.8,0.218,259200.59482234213
math-500,DeepHermes 3 -Mistral 24B,,51172.14300073266,0.0,258827.85699926736,59.5,0.595,258827.85699926736
math-500,DeepSeek R1(Jan),deepseek-r1-0120,52792.72112637656,1179837.626722189,167369.6521514345,96.6,0.966,1347207.278873623
math-500,DeepSeek R10528,deepseek-r1,48352.3115474938,2630821.507902628,320826.1805498788,98.3,0.983,2951647.6884525064
math-500,DeepSeek R10528 Qwen38B,deepseek-r1-qwen3-8b,47602.09899452461,2402573.148400075,149824.7526054004,93.2,0.932,2552397.901005476
math-500,DeepSeek R1Distill Qwen1.5B,deepseek-r1-distill-qwen-1-5b,56542.29710429905,431634.38412021584,1911823.3187754853,68.7,0.687,2343457.702895701
math-500,DeepSeek R1Distill Qwen14B,deepseek-r1-distill-qwen-14b,58574.7423376737,1397417.9089307934,144007.34873153272,94.9,0.949,1541425.257662326
math-500,DeepSeek R1Distill Qwen32B,deepseek-r1-distill-qwen-32b,56785.65513057512,1238014.2897910017,205200.05507842323,94.1,0.941,1443214.344869425
math-500,DeepSeek R1DistillLlama 70B,deepseek-r1-distill-llama-70b,56215.61286881278,1140376.5421733155,203407.84495787168,93.5,0.935,1343784.3871311871
math-500,DeepSeek R1DistillLlama 8B,deepseek-r1-distill-llama-8b,55565.65139415122,1024985.1867808112,519449.1618250374,85.3,0.853,1544434.3486058486
math-500,DeepSeek V3 (Dec),deepseek-v3,56637.83138248606,0.0,333362.1686175139,88.7,0.887,333362.1686175139
math-500,DeepSeek V3 0324,deepseek-v3-0324,51085.420220466905,0.0,648914.5797795331,94.2,0.942,648914.5797795331
math-500,DeepSeek-Coder-V2,deepseek-coder-v2,169305.416726165,0.0,830694.583273835,74.3,0.743,830694.583273835
math-500,DeepSeek-V2.5(Dec),deepseek-v2-5,175249.9888022932,0.0,924750.0111977068,76.3,0.763,924750.0111977068
math-500,Devstral Medium,devstral-medium,47009.36046625708,0.0,202990.6395337429,70.7,0.7070000000000001,202990.6395337429
math-500,Devstral Small,devstral-small,47762.93490180428,0.0,222237.0650981957,63.5,0.635,222237.0650981957
math-500,Devstral Small(May),devstral-small-2505,47811.30457601356,0.0,222188.69542398647,68.4,0.684,222188.69542398647
math-500,ERNIE 4.5 300BA47B,ernie-4-5-300b-a47b,47731.0628987325,0.0,482268.93710126745,93.1,0.931,482268.93710126745
math-500,EXAONE 4.0 32B,exaone-4-0-32b,49345.36283483172,0.0,580654.6371651683,93.9,0.939,580654.6371651683
math-500,EXAONE 4.032B,exaone-4-0-32b,49252.08559829474,2553597.6849867525,297150.22941495274,97.7,0.977,2850747.9144017054
math-500,GLM-4.5,glm-4.5,49265.14233525872,2644266.2091766982,306468.6484880432,97.9,0.979,2950734.8576647416
math-500,GLM-4.5-Air,glm-4-5-air,50117.56060276815,2745077.2765465137,304805.1628507183,96.5,0.965,3049882.439397232
math-500,GPT-3.5 Turbo,gpt-35-turbo,171276.94241874595,0.0,448723.0575812541,44.1,0.441,448723.0575812541
math-500,GPT-4 Turbo,gpt-4-turbo,171327.64166866784,0.0,718672.3583313322,73.7,0.737,718672.3583313322
math-500,GPT-4.1,gpt-4-1,48057.9042755695,0.0,391942.0957244305,91.3,0.913,391942.0957244305
math-500,GPT-4.1 mini,gpt-4-1-mini,48163.33398894188,0.0,411836.6660110581,92.5,0.925,411836.6660110581
math-500,GPT-4.1 nano,gpt-4-1-nano,48002.00788842509,0.0,441997.9921115749,84.8,0.848,441997.9921115749
math-500,GPT-4o (Aug),gpt-4o-2024-08-06,167915.54506928255,0.0,832084.4549307175,79.5,0.795,832084.4549307175
math-500,GPT-4o (ChatGPT),gpt-4o-chatgpt,50249.19943265716,0.0,219750.8005673428,79.7,0.797,219750.8005673428
math-500,GPT-4o (Mar),gpt-4o-chatgpt-03-25,50807.15513170633,0.0,359192.8448682937,89.3,0.893,359192.8448682937
math-500,GPT-4o (May),gpt-4o-2024-05-13,167941.1463825366,0.0,832058.8536174634,79.1,0.7909999999999999,832058.8536174634
math-500,GPT-4o (Nov),gpt-4o,46240.228760629885,0.0,283759.7712393701,75.9,0.759,283759.7712393701
math-500,GPT-4o mini,gpt-4o-mini,56731.84679958026,0.0,323268.15320041974,78.9,0.789,323268.15320041974
math-500,GPT-5 (high),gpt-5,48184.58192846508,1082880.9720586776,68934.44601285722,99.4,0.994,1151815.4180715347
math-500,GPT-5 (low),gpt-5-low,49007.87878171279,286348.59921466553,54643.52200362165,98.7,0.987,340992.12121828715
math-500,GPT-5 (minimal),gpt-5-minimal,49397.10706363784,0.0,110602.89293636216,86.1,0.861,110602.89293636216
math-500,GPT-5(medium),gpt-5-medium,49613.62492032606,572771.2309111708,67615.14416850319,99.1,0.991,640386.3750796741
math-500,Gemini 1.0 Pro,gemini-1-0-pro,56813.05429439658,0.0,193186.94570560343,40.3,0.4029999999999999,193186.94570560343
math-500,Gemini 1.5 Flash(May),gemini-1-5-flash-may-2024,138505.83788111602,0.0,491494.162118884,55.4,0.5539999999999999,491494.162118884
math-500,Gemini 1.5 Flash(Sep),gemini-1-5-flash,143074.1559201004,0.0,666925.8440798996,82.7,0.8270000000000001,666925.8440798996
math-500,Gemini 1.5 Pro(May),gemini-1-5-pro-may-2024,47458.573412725535,0.0,172541.42658727444,67.3,0.6729999999999999,172541.42658727444
math-500,Gemini 1.5 Pro(Sep),gemini-1-5-pro,48489.70599111685,0.0,211510.29400888315,87.6,0.8759999999999999,211510.29400888315
math-500,Gemini 1.5Flash-8B,gemini-1-5-flash-8b,51208.3387410772,0.0,258791.6612589228,68.9,0.6890000000000001,258791.6612589228
math-500,Gemini 2.0 Flash,gemini-2-0-flash,47752.01388318876,0.0,292247.9861168112,93.0,0.93,292247.9861168112
math-500,Gemini 2.0 Flash(exp),gemini-2-0-flash-experimental,47974.38433809491,0.0,282025.6156619051,91.1,0.911,282025.6156619051
math-500,Gemini 2.0 ProExperimental,gemini-2-0-pro-experimental-02-05,47590.55691676037,0.0,282409.44308323966,92.3,0.923,282409.44308323966
math-500,Gemini 2.0Flash-Lite (Feb),gemini-2-0-flash-lite-001,50876.14983736131,0.0,349123.85016263864,87.3,0.873,349123.85016263864
math-500,Gemini 2.0Flash-Lite(Preview),gemini-2-0-flash-lite-preview,48159.20513415277,0.0,341840.7948658472,87.3,0.873,341840.7948658472
math-500,Gemini 2.0FlashThinking exp. (Dec),gemini-2-0-flash-thinking-exp-1219,142466.7554773184,0.0,357533.2445226816,48.0,0.48,357533.2445226816
