benchmark,family_id,variant_count,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
mmmu-pro,claude-4-5-haiku,2,Claude 4.5 Haiku,claude-4-5-haiku-reasoning,1186267.5870559337,0.0,613732.4129440663,55.0,0.55,613732.4129440663
mmmu-pro,claude-4-5-haiku,2,Claude 4.5Haiku,claude-4-5-haiku-reasoning,1426374.8006656228,11002442.413159195,571182.7861751787,59.0,0.59,11573625.199334374
mmmu-pro,claude-4-5-sonnet,2,Claude 4.5 Sonnet,claude-4-5-sonnet-thinking,1179840.4391739585,0.0,620159.560826042,65.0,0.65,620159.560826042
mmmu-pro,claude-4-5-sonnet,2,Claude 4.5Sonnet,claude-4-5-sonnet-thinking,1348804.1871308011,8088377.929563941,562817.8833052575,69.0,0.69,8651195.812869199
mmmu-pro,claude-4-sonnet,2,Claude 4 Sonnet,claude-4-sonnet,326586.6062633691,0.0,593413.3937366309,62.0,0.62,593413.3937366309
mmmu-pro,claude-4-sonnet,2,Claude 4Sonnet,claude-4-sonnet,321697.02808717976,1440976.6120390468,437326.3598737734,62.0,0.62,1878302.9719128204
mmmu-pro,claude-opus-4-5,2,Claude Opus 4.5,claude-opus-4-5,1177427.8798038398,0.0,722572.1201961602,71.0,0.71,722572.1201961602
mmmu-pro,claude-opus-4-5,2,Claude Opus4.5,claude-opus-4-5,1387605.5684469286,11040446.00874505,571948.422808021,74.0,0.74,11612394.431553071
mmmu-pro,claude-opus-4-6,2,Claude Opus 4.6(high),claude-opus-4-6,1112154.5529743603,0.0,687845.4470256395,73.0,0.73,687845.4470256395
mmmu-pro,claude-opus-4-6,2,Claude Opus4.6 (max),claude-opus-4-6-adaptive,,,,75.0,0.75,
mmmu-pro,claude-sonnet-4-6,2,Claude Sonnet 4.6(Non-reasoning),claude-sonnet-4-6,1114963.5147925385,0.0,685036.4852074616,71.0,0.71,685036.4852074616
mmmu-pro,claude-sonnet-4-6,2,ClaudeSonnet 4.6(max),claude-sonnet-4-6-adaptive,,,,73.0,0.73,
mmmu-pro,gemini-2-5-flash-lite-preview-09-2025,2,Gemini 2.5Flash-Lite (Sep),gemini-2-5-flash-lite-preview-09-2025-reasoning,815005.5227456564,0.0,3884994.477254343,63.0,0.63,3884994.477254343
mmmu-pro,gemini-2-5-flash-lite-preview-09-2025,2,Gemini 2.5Flash-Lite(Sep),gemini-2-5-flash-lite-preview-09-2025-reasoning,814457.0430080078,5409778.08671893,875764.8702730624,65.0,0.65,6285542.956991992
mmmu-pro,gemini-2-5-flash-preview-09-2025,2,Gemini 2.5 Flash(Sep),gemini-2-5-flash-preview-09-2025,817495.5771264037,0.0,2782504.422873596,70.0,0.7,2782504.422873596
mmmu-pro,gemini-2-5-flash-preview-09-2025,2,Gemini 2.5Flash (Sep),gemini-2-5-flash-preview-09-2025,811103.8470363669,4535374.956966704,853521.1959969293,73.0,0.73,5388896.152963633
