model_id,model,benchmark_id,benchmark,x_value,x_unit,performance,score_unit,data_quality,source_detail,source_url,human_verified
m85,Gemini 2.5 Flash,b13,OTIS Mock AIME 2024-2025,1024,thinking_tokens,0.674,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
m85,Gemini 2.5 Flash,b13,OTIS Mock AIME 2024-2025,2048,thinking_tokens,0.69,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
m85,Gemini 2.5 Flash,b13,OTIS Mock AIME 2024-2025,4096,thinking_tokens,0.709,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
m85,Gemini 2.5 Flash,b13,OTIS Mock AIME 2024-2025,8192,thinking_tokens,0.81,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
m85,Gemini 2.5 Flash,b13,OTIS Mock AIME 2024-2025,16384,thinking_tokens,0.875,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
m85,Gemini 2.5 Flash,b13,OTIS Mock AIME 2024-2025,32768,thinking_tokens,0.88,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
m85,Gemini 2.5 Flash,b43,LiveCodeBench,1024,thinking_tokens,0.485,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
m85,Gemini 2.5 Flash,b43,LiveCodeBench,2048,thinking_tokens,0.509,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
m85,Gemini 2.5 Flash,b43,LiveCodeBench,4096,thinking_tokens,0.58,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
m85,Gemini 2.5 Flash,b43,LiveCodeBench,8192,thinking_tokens,0.729,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
m85,Gemini 2.5 Flash,b43,LiveCodeBench,16384,thinking_tokens,0.755,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
m85,Gemini 2.5 Flash,b43,LiveCodeBench,32768,thinking_tokens,0.76,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
m85,Gemini 2.5 Flash,b11,GPQA Diamond,1024,thinking_tokens,0.8,accuracy,figure_estimate,Gemini 2.5 Technical Report Fig 4,https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf,yes
