benchmark,family_id,variant_count,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
livecodebench,claude-3-7-sonnet,2,Claude 3.7 Sonnet,claude-3-7-sonnet,500748.4956927333,0.0,999251.5043072668,39.4,0.3939999999999999,999251.5043072668
livecodebench,claude-3-7-sonnet,2,Claude 3.7Sonnet,claude-3-7-sonnet,501042.4814981481,10206445.319986552,292512.1985153005,47.3,0.473,10498957.518501852
livecodebench,claude-4-5-haiku,2,Claude 4.5 Haiku,claude-4-5-haiku-reasoning,509802.02441734174,0.0,890197.9755826583,51.1,0.511,890197.9755826583
livecodebench,claude-4-5-haiku,2,Claude 4.5Haiku,claude-4-5-haiku-reasoning,511611.3859814469,2590943.931335062,597444.6826834914,61.5,0.615,3188388.614018553
livecodebench,claude-4-5-sonnet,2,Claude 4.5 Sonnet,claude-4-5-sonnet-thinking,510122.0775710548,0.0,689877.9224289452,59.0,0.59,689877.9224289452
livecodebench,claude-4-5-sonnet,2,Claude 4.5Sonnet,claude-4-5-sonnet-thinking,509934.8069528046,3247845.492431616,542219.7006155798,71.4,0.7140000000000001,3790065.193047196
livecodebench,claude-4-opus,2,Claude 4 Opus,claude-4-opus-thinking,525949.9063515804,0.0,574050.0936484195,54.2,0.542,574050.0936484195
livecodebench,claude-4-opus,2,Claude 4Opus,claude-4-opus-thinking,486596.8205867392,2491646.2457658662,421756.9336473945,63.6,0.636,2913403.179413261
livecodebench,claude-4-sonnet,2,Claude 4 Sonnet,claude-4-sonnet,407174.5306548921,0.0,522825.4693451079,44.9,0.449,522825.4693451079
livecodebench,claude-4-sonnet,2,Claude 4Sonnet,claude-4-sonnet,513032.487194716,3456389.6449779547,530577.8678273289,65.5,0.655,3986967.512805284
livecodebench,claude-opus-4-5,2,Claude Opus 4.5,claude-opus-4-5,503704.6503171844,0.0,896295.3496828156,73.8,0.738,896295.3496828156
livecodebench,claude-opus-4-5,2,Claude Opus4.5,claude-opus-4-5,501041.0346763765,4676954.243874399,622004.7214492246,87.1,0.871,5298958.965323623
livecodebench,deepseek-v3-1,2,DeepSeek V3.1,deepseek-v3-1,501428.6346870763,0.0,1898571.365312924,57.7,0.5770000000000001,1898571.365312924
livecodebench,deepseek-v3-1,2,DeepSeekV3.1,deepseek-v3-1,525740.9515771872,11088950.29989884,385308.7485239754,78.4,0.784,11474259.048422815
livecodebench,deepseek-v3-1-terminus,2,DeepSeek V3.1Terminus,deepseek-v3-1-terminus,504264.2659773155,0.0,1195735.7340226846,52.9,0.529,1195735.7340226846
livecodebench,deepseek-v3-1-terminus,2,DeepSeekV3.1Terminus,deepseek-v3-1-terminus,517034.5799704329,10098618.616413796,384346.8036157717,79.8,0.7979999999999999,10482965.420029568
livecodebench,deepseek-v3-2,2,DeepSeek V3.2,deepseek-v3-2-reasoning,520401.455381523,0.0,1579598.544618477,59.3,0.593,1579598.544618477
livecodebench,deepseek-v3-2,2,DeepSeekV3.2,deepseek-v3-2-reasoning,522648.4984379266,12060278.022372412,417073.4791896607,86.2,0.862,12477351.501562072
livecodebench,deepseek-v3-2-reasoning-0925,2,DeepSeek V3.2 Exp,deepseek-v3-2-reasoning-0925,512085.9881767905,0.0,1287914.0118232097,55.4,0.5539999999999999,1287914.0118232097
livecodebench,deepseek-v3-2-reasoning-0925,2,DeepSeekV3.2 Exp,deepseek-v3-2-reasoning-0925,492397.2629092337,10160940.23765516,346662.4994356076,78.9,0.789,10507602.737090766
livecodebench,exaone-4-0-1-2b,2,Exaone 4.0 1.2B,exaone-4-0-1-2b,506028.367536708,0.0,893971.6324632921,29.3,0.293,893971.6324632921
livecodebench,exaone-4-0-1-2b,2,Exaone 4.01.2B,exaone-4-0-1-2b,511911.878502561,8384390.4550147075,903697.666482732,51.6,0.516,9288088.12149744
livecodebench,exaone-4-0-32b,2,EXAONE 4.0 32B,exaone-4-0-32b,512861.8636249308,0.0,1887138.1363750687,47.2,0.472,1887138.1363750687
livecodebench,exaone-4-0-32b,2,EXAONE 4.032B,exaone-4-0-32b,503658.9567298538,14552766.8935596,943574.149710546,74.7,0.747,15496341.043270145
livecodebench,gemini-2-5-flash-lite-preview-09-2025,2,Gemini 2.5Flash-Lite (Sep),gemini-2-5-flash-lite-preview-09-2025-reasoning,510857.4136923478,0.0,7389142.586307651,64.1,0.6409999999999999,7389142.586307651
livecodebench,gemini-2-5-flash-lite-preview-09-2025,2,Gemini 2.5Flash-Lite(Sep),gemini-2-5-flash-lite-preview-09-2025-reasoning,522453.6989389386,11125074.557017162,1352471.7440439002,68.8,0.688,12477546.301061062
livecodebench,gemini-2-5-flash-preview-09-2025,2,Gemini 2.5 Flash(Sep),gemini-2-5-flash-preview-09-2025,511097.5555449434,0.0,6988902.444455056,62.5,0.625,6988902.444455056
livecodebench,gemini-2-5-flash-preview-09-2025,2,Gemini 2.5Flash (Sep),gemini-2-5-flash-preview-09-2025,520752.1024440384,14585397.881690873,893850.01586509,71.3,0.713,15479247.897555962
livecodebench,gemini-2-5-flash-reasoning-04-2025,2,Gemini 2.5 Flash,gemini-2-5-flash-reasoning-04-2025,493893.93454526656,0.0,1306106.0654547336,49.5,0.495,1306106.0654547336
livecodebench,gemini-2-5-flash-reasoning-04-2025,2,Gemini 2.5Flash,gemini-2-5-flash-reasoning-04-2025,502372.1826791719,24383510.51159568,1114117.3057251505,69.5,0.695,25497627.81732083
livecodebench,gemini-3-flash,2,Gemini 3 Flash,gemini-3-flash-reasoning,491634.93896967545,0.0,608365.0610303245,79.7,0.797,608365.0610303245
livecodebench,gemini-3-flash,2,Gemini 3Flash,gemini-3-flash-reasoning,509425.4461303752,16813771.845139273,676802.7087303534,90.8,0.908,17490574.553869627
livecodebench,gemini-3-pro,2,Gemini 3 ProPreview(low),gemini-3-pro-low,504422.8691154719,107957.33694083447,2387619.7939436934,85.7,0.857,2495577.130884528
livecodebench,gemini-3-pro,2,Gemini 3 ProPreview(high),gemini-3-pro,510463.3386218327,10804294.956544736,685241.704833434,91.7,0.917,11489536.661378171
livecodebench,gpt-5,4,GPT-5 (minimal),gpt-5-minimal,495645.1729852045,0.0,604354.8270147955,55.8,0.5579999999999999,604354.8270147955
livecodebench,gpt-5,4,GPT-5 (low),gpt-5-low,510394.71966434974,2001239.197602285,388366.0827333653,76.3,0.763,2389605.2803356503
