benchmark,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
ifbench,Apertus 70BInstruct,apertus-70b-instruct,25032.91366463259,0.0,1174967.0863353673,25.9,0.259,1174967.0863353673
ifbench,Apertus 8BInstruct,apertus-8b-instruct,24568.494756298143,0.0,235431.50524370183,22.4,0.2239999999999999,235431.50524370183
ifbench,Apriel-v1.5-15B-Thinker,apriel-v1-5-15b-thinker,24726.17652716677,2137116.3498364864,138157.47363634707,61.7,0.617,2275273.8234728333
ifbench,Apriel-v1.6-15B-Thinker,apriel-v1-6-15b-thinker,25186.22464811041,1606320.6419997974,68493.13335209212,69.1,0.691,1674813.7753518894
ifbench,Claude 3 Haiku,claude-3-haiku,24494.3626896072,0.0,85505.63731039279,36.1,0.361,85505.63731039279
ifbench,Claude 3.5 Haiku,claude-3-5-haiku,24696.81620839262,0.0,68303.18379160737,42.8,0.428,68303.18379160737
ifbench,Claude 3.7 Sonnet,claude-3-7-sonnet,25302.931957064367,0.0,104697.06804293564,44.0,0.44,104697.06804293564
ifbench,Claude 3.7Sonnet,claude-3-7-sonnet,24481.391904347154,746218.9902361766,119299.61785947622,48.3,0.483,865518.6080956529
ifbench,Claude 4 Opus,claude-4-opus-thinking,25499.94480104765,0.0,104500.05519895237,43.3,0.433,104500.05519895237
ifbench,Claude 4 Sonnet,claude-4-sonnet,25604.21251825417,0.0,124395.78748174582,45.4,0.4539999999999999,124395.78748174582
ifbench,Claude 4.1Opus,claude-4-1-opus-thinking,,,,55.4,0.5539999999999999,
ifbench,Claude 4.5 Haiku,claude-4-5-haiku-reasoning,24273.44521223944,0.0,135726.55478776057,42.0,0.42,135726.55478776057
ifbench,Claude 4.5 Sonnet,claude-4-5-sonnet-thinking,24440.58309347228,0.0,125559.41690652772,42.7,0.427,125559.41690652772
ifbench,Claude 4.5Haiku,claude-4-5-haiku-reasoning,24604.30557491491,2741347.307083444,134048.3873416418,54.3,0.5429999999999999,2875395.6944250856
