benchmark,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
apex-agents-aa,Claude Opus4.6 (max),claude-opus-4-6-adaptive,170778645.91422725,6869007.52811156,2352346.5576611906,33.0,0.33,9221354.08577275
apex-agents-aa,ClaudeSonnet 4.6(max),claude-sonnet-4-6-adaptive,275099413.8917795,11907035.012978064,2993551.095242459,28.0,0.28,14900586.108220523
apex-agents-aa,DeepSeekV3.2,deepseek-v3-2-reasoning,385332293.76023656,2962465.3606922138,1705240.8790712203,14.5,0.145,4667706.239763434
apex-agents-aa,GLM-5,glm-5,454155772.6936025,3080764.986253133,2763462.3201443483,14.5,0.145,5844227.306397481
apex-agents-aa,GPT-5.4 mini(xhigh),gpt-5-4-mini,383136679.927445,34178823.79731393,2684496.275241064,28.2,0.282,36863320.07255499
apex-agents-aa,GPT-5.4 nano(xhigh),gpt-5-4-nano,1189707290.4904425,105973517.515976,4319191.993581842,24.9,0.249,110292709.50955784
apex-agents-aa,GPT-5.4(xhigh),gpt-5-4,354373906.0175394,12733540.753155824,2892553.2293047816,33.3,0.3329999999999999,15626093.982460603
apex-agents-aa,Gemini 3.1Flash-LitePreview,gemini-3-1-flash-lite-preview,536828898.0217868,2071002.985769089,1100098.992444116,12.2,0.122,3171101.978213205
apex-agents-aa,Gemini 3.1Pro Preview,gemini-3-1-pro-preview,253927469.73445976,4397913.92887845,1674616.3366617952,32.0,0.32,6072530.265540245
apex-agents-aa,Gemini 3Flash,gemini-3-flash-reasoning,1089209582.828925,8917582.066434681,1872835.104640448,27.7,0.2769999999999999,10790417.17107513
apex-agents-aa,Grok 4.200309,grok-4-20-0309-non-reasoning,215655607.400981,3297212.820510496,1047179.7785084872,14.2,0.142,4344392.599018984
apex-agents-aa,Kimi K2.5,kimi-k2-5-non-reasoning,245669546.0784231,1685905.10699056,2644548.8145863307,11.5,0.115,4330453.921576891
apex-agents-aa,MiniMax-M2.7,minimax-m2-7,431782963.6103007,4376755.283926556,3840281.105772816,10.6,0.106,8217036.3896993715
apex-agents-aa,NVIDIANemotron 3Super,nvidia-nemotron-3-super-120b-a12b,76667841.73591954,20546.08131908163,311612.18276137806,1.8,0.018,332158.2640804597
apex-agents-aa,Qwen3.5 397BA17B,qwen3-5-397b-a17b-non-reasoning,265864574.43279105,470429.5898083244,3664995.977400655,15.3,0.153,4135425.5672089793
apex-agents-aa,gpt-oss-120B(high),gpt-oss-120b,659395115.7089766,6343241.695780466,4261642.595242895,3.1,0.031,10604884.291023362
apex-agents-aa,gpt-oss-20B(high),gpt-oss-20b,60089657.77847032,4060177.773741512,850164.4477881679,0.7,0.7,4910342.22152968
