benchmark,family_id,variant_count,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
math-500,claude-3-7-sonnet,2,Claude 3.7 Sonnet,claude-3-7-sonnet,50979.57575189833,0.0,259020.42424810168,85.0,0.85,259020.42424810168
math-500,claude-3-7-sonnet,2,Claude 3.7Sonnet,claude-3-7-sonnet,51352.59969868758,2628982.2126423125,219665.18765899973,94.7,0.947,2848647.400301312
math-500,claude-4-opus,2,Claude 4 Opus,claude-4-opus-thinking,47484.21760780363,0.0,282515.7823921964,94.1,0.941,282515.7823921964
math-500,claude-4-opus,2,Claude 4Opus,claude-4-opus-thinking,49614.817952881735,783042.3874414552,267342.7946056631,98.2,0.982,1050385.1820471182
math-500,claude-4-sonnet,2,Claude 4 Sonnet,claude-4-sonnet,48581.69732135296,0.0,311418.30267864704,93.4,0.934,311418.30267864704
math-500,claude-4-sonnet,2,Claude 4Sonnet,claude-4-sonnet,46331.31596252079,984278.6411609112,269390.0428765681,99.1,0.991,1253668.684037479
math-500,exaone-4-0-32b,2,EXAONE 4.0 32B,exaone-4-0-32b,49345.36283483172,0.0,580654.6371651683,93.9,0.939,580654.6371651683
math-500,exaone-4-0-32b,2,EXAONE 4.032B,exaone-4-0-32b,49252.08559829474,2553597.6849867525,297150.22941495274,97.7,0.977,2850747.9144017054
math-500,gemini-2-5-flash-reasoning-04-2025,2,Gemini 2.5 Flash,gemini-2-5-flash-reasoning-04-2025,47734.14889099383,0.0,562265.8511090062,93.2,0.932,562265.8511090062
math-500,gemini-2-5-flash-reasoning-04-2025,2,Gemini 2.5Flash,gemini-2-5-flash-reasoning-04-2025,47751.71186538946,2746949.841256801,505298.44687780953,98.1,0.981,3252248.2881346107
math-500,gpt-5,4,GPT-5 (minimal),gpt-5-minimal,49397.10706363784,0.0,110602.89293636216,86.1,0.861,110602.89293636216
math-500,gpt-5,4,GPT-5 (low),gpt-5-low,49007.87878171279,286348.59921466553,54643.52200362165,98.7,0.987,340992.12121828715
math-500,gpt-5,4,GPT-5(medium),gpt-5-medium,49613.62492032606,572771.2309111708,67615.14416850319,99.1,0.991,640386.3750796741
math-500,gpt-5,4,GPT-5 (high),gpt-5,48184.58192846508,1082880.9720586776,68934.44601285722,99.4,0.994,1151815.4180715347
math-500,llama-3-3-nemotron-super-49b,2,Llama 3.3Nemotron Super49B,llama-3-3-nemotron-super-49b,50648.85381118328,0.0,279351.14618881675,77.5,0.775,279351.14618881675
math-500,llama-3-3-nemotron-super-49b,2,Llama 3.3NemotronSuper 49B,llama-3-3-nemotron-super-49b,49046.38234550976,1196622.2590336076,154331.35862088265,95.9,0.959,1350953.6176544903
math-500,llama-nemotron-super-49b-v1-5,2,Llama NemotronSuper 49B v1.5,llama-nemotron-super-49b-v1-5-reasoning,49074.10059313664,0.0,380925.8994068634,77.0,0.77,380925.8994068634
math-500,llama-nemotron-super-49b-v1-5,2,LlamaNemotronSuper 49B v1.5,llama-nemotron-super-49b-v1-5-reasoning,49799.69584826089,2418287.1792651243,231913.12488661485,98.3,0.983,2650200.304151739
math-500,o3-mini,2,o3-mini,o3-mini,54386.05147797291,350047.4226902263,225566.52583180083,97.3,0.973,575613.9485220271
math-500,o3-mini,2,o3-mini(high),o3-mini-high,56064.70492359181,809542.561781418,234392.7332949901,98.5,0.985,1043935.2950764082
math-500,qwen3-235b-a22b-instruct-2507,2,Qwen3 235B 2507,qwen3-235b-a22b-instruct-2507,47801.11572786928,0.0,772198.8842721307,98.0,0.98,772198.8842721307
math-500,qwen3-235b-a22b-instruct-2507,2,Qwen3 235BA22B 2507,qwen3-235b-a22b-instruct-2507-reasoning,48552.784576330654,2343216.4790872457,308230.736336424,98.4,0.984,2651447.2154236697
math-500,qwen3-30b-a3b-2507,2,Qwen3 30B A3B2507,qwen3-30b-a3b-2507,49199.964950338974,0.0,700800.0350496611,97.5,0.975,700800.0350496611
math-500,qwen3-30b-a3b-2507,2,Qwen3 30BA3B 2507,qwen3-30b-a3b-2507,49076.14365660158,2154078.2929912624,296845.5633521359,97.6,0.976,2450923.8563433983
math-500,sonar,2,Sonar,sonar,50449.82920829584,0.0,289550.1707917041,81.7,0.8170000000000001,289550.1707917041
math-500,sonar,2,SonarReasoning,sonar-reasoning,50666.49014375001,652349.2877532573,156984.22210299264,92.1,0.921,809333.5098562499
