model_id,aa_name,aa_model_slug,company_slug,eci_estimated,capability,n_benchmarks,benchmarks_used,mean_accuracy,total_reasoning_tokens,total_answer_tokens,total_inference_tokens
openai/gpt-5.4-2026-03-05,GPT-5.4 (xhigh),gpt-5-4,openai,160.37835601552865,2.4181525755396884,7,"Chess Puzzles, FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified, SimpleQA Verified",0.6986230048061434,31271674.333333332,1677488.0,32949162.333333332
openai/gpt-5-pro-2025-10-06,gpt-5-pro-2025-10-06,,,160.32727814952835,2.415650388913034,1,FrontierMath-2025-02-28-Private,0.6,315584.0,14526.0,330110.0
openai/gpt-5.5-pro-pre-release,gpt-5.5-pro-pre-release,,,159.12568871935173,2.356787299313749,3,"GPQA diamond, OTIS Mock AIME 2024-2025, SimpleQA Verified",0.8614045214045215,14208461.0,447637.0,14656098.0
google/gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,gemini-3-1-pro-preview,google,159.0390407660942,2.352542616306307,6,"Chess Puzzles, FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SimpleQA Verified",0.7038907563697498,14793620.0,1618821.0,16412441.0
openai/gpt-5.5-pre-release,gpt-5.5-pre-release,,,158.98245488044657,2.3497706045248443,5,"Chess Puzzles, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified, SimpleQA Verified",0.7833620752984389,37310375.0,2850030.0,40160405.0
anthropic/claude-opus-4-7,claude-opus-4-7,,,157.24525435484264,2.2646691650293937,6,"FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified, SimpleQA Verified",0.6829635751453934,4319841.0,20450651.0,24770492.0
google/gemini-3-pro-preview,Gemini 3 Pro Preview (high),gemini-3-pro,google,156.41639833119672,2.2240654237185167,7,"Chess Puzzles, FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified, SimpleQA Verified",0.6297662993572084,26381612.0,6299789.0,32681401.0
google/gemini-3-flash-preview,Gemini 3 Flash Preview (Non-reasoning),gemini-3-flash,google,155.0913164506891,2.1591527243389597,7,"Chess Puzzles, FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified, SimpleQA Verified",0.5954258166076347,45164342.0,4199292.0,49363634.0
anthropic/claude-opus-4-6,"Claude Opus 4.6 (Non-reasoning, High Effort)",claude-opus-4-6,anthropic,155.02455762740718,2.155882363850011,7,"Chess Puzzles, FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified, SimpleQA Verified",0.591543608515131,7944525.0,13777129.166666666,21721654.166666664
openai/gpt-5-2025-08-07,GPT-5 (high),gpt-5,openai,154.93563331739156,2.151526167385106,7,"Chess Puzzles, FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified, SimpleQA Verified",0.5838812147448511,32482043.0,3193612.0,35675655.0
openai/gpt-5.2-2025-12-11,GPT-5.2 (xhigh),gpt-5-2,openai,153.9897637051368,2.1051902007586274,7,"Chess Puzzles, FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified, SimpleQA Verified",0.5716936901482356,34630245.666666664,5862929.083333333,40493174.75
anthropic/claude-sonnet-4-6,"Claude Sonnet 4.6 (Non-reasoning, High Effort)",claude-sonnet-4-6,anthropic,152.5450209717523,2.034415592704173,7,"Chess Puzzles, FrontierMath-2025-02-28-Private, FrontierMath-Tier-4-2025-07-01-Private, GPQA diamond, OTIS Mock AIME 2024-2025, SWE-Bench verified, SimpleQA Verified",0.5291057139109088,6537473.0,14591164.0,21128637.0
