benchmark,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
tau2-bench,Apertus 70BInstruct,apertus-70b-instruct,19576066.26203416,0.0,423933.73796584096,12.9,0.129,423933.73796584096
tau2-bench,Apertus 8BInstruct,apertus-8b-instruct,21512810.48149653,0.0,487189.518503469,11.4,0.114,487189.518503469
tau2-bench,Apriel-v1.5-15B-Thinker,apriel-v1-5-15b-thinker,36982824.80658805,1454475.1505527878,562700.0428591582,68.4,0.684,2017175.193411946
tau2-bench,Apriel-v1.6-15B-Thinker,apriel-v1-6-15b-thinker,29957010.669111524,1750301.566458391,292687.7644300857,69.3,0.693,2042989.3308884767
tau2-bench,Claude 3 Haiku,claude-3-haiku,26684102.678522058,0.0,315897.3214779432,21.1,0.211,315897.3214779432
tau2-bench,Claude 3.5 Haiku,claude-3-5-haiku,20730251.64180435,0.0,269748.3581956507,24.6,0.246,269748.3581956507
tau2-bench,Claude 3.7 Sonnet,claude-3-7-sonnet,25715760.547592103,0.0,284239.4524078953,50.0,0.5,284239.4524078953
tau2-bench,Claude 3.7Sonnet,claude-3-7-sonnet,26543536.306499973,144375.70947988573,312087.98402014223,54.7,0.547,456463.693500028
tau2-bench,Claude 4 Sonnet,claude-4-sonnet,19774151.30843308,0.0,225848.6915669201,52.3,0.523,225848.6915669201
tau2-bench,Claude 4.1Opus,claude-4-1-opus-thinking,,,,71.4,0.7140000000000001,
tau2-bench,Claude 4.5 Haiku,claude-4-5-haiku-reasoning,24695631.57073704,0.0,304368.4292629614,32.5,0.325,304368.4292629614
tau2-bench,Claude 4.5 Sonnet,claude-4-5-sonnet-thinking,29683672.243351057,0.0,316327.75664894213,70.5,0.705,316327.75664894213
tau2-bench,Claude 4.5Haiku,claude-4-5-haiku-reasoning,29100953.342950232,348047.8455428216,550998.8115069463,54.7,0.547,899046.6570497679
tau2-bench,Claude 4.5Sonnet,claude-4-5-sonnet-thinking,29311902.86158689,271401.2924953492,416695.8459177546,78.1,0.7809999999999999,688097.1384131038
tau2-bench,Claude 4Opus,claude-4-opus-thinking,,,,73.4,0.7340000000000001,
tau2-bench,Claude 4Sonnet,claude-4-sonnet,28457253.546762936,262774.4882645727,279971.9649724926,64.6,0.6459999999999999,542746.4532370653
tau2-bench,Claude Opus 4.5,claude-opus-4-5,27700431.066456143,0.0,299568.9335438571,86.3,0.863,299568.9335438571
tau2-bench,Claude Opus 4.6(high),claude-opus-4-6,27741235.82868849,0.0,258764.1713115029,84.8,0.848,258764.1713115029
tau2-bench,Claude Opus4.5,claude-opus-4-5,27499238.06236076,170373.32655586823,330388.61108337325,89.5,0.895,500761.9376392415
tau2-bench,Claude Opus4.6 (max),claude-opus-4-6-adaptive,27621985.12141076,81150.0568510837,296864.82173816016,92.1,0.921,378014.8785892439
tau2-bench,Claude Sonnet 4.6(Non-reasoning),claude-sonnet-4-6,28785006.86139115,0.0,214993.1386088528,79.5,0.795,214993.1386088528
tau2-bench,"Claude Sonnet 4.6(Non-reasoning,Low Effort)",claude-sonnet-4-6-non-reasoning-low-effort,28804076.868147194,0.0,195923.13185280413,78.9,0.789,195923.13185280413
tau2-bench,ClaudeSonnet 4.6(max),claude-sonnet-4-6-adaptive,29448018.481435444,174889.76399445554,377091.7545701014,75.7,0.757,551981.518564557
tau2-bench,Command A,command-a,22794251.287189595,0.0,205748.71281040585,15.2,0.152,205748.71281040585
tau2-bench,DeepSeek R1(Jan),deepseek-r1-0120,12542703.912054366,312041.09428994544,145254.99365568938,11.4,0.114,457296.0879456349
tau2-bench,DeepSeek R10528,deepseek-r1,14458004.439875234,337444.8913908997,204550.66873386648,36.5,0.365,541995.5601247662
tau2-bench,DeepSeek R10528 Qwen38B,deepseek-r1-qwen3-8b,,,,0.0,0.0,
tau2-bench,DeepSeek R1DistillLlama 70B,deepseek-r1-distill-llama-70b,15442766.01591594,0.0,557233.9840840611,21.9,0.2189999999999999,557233.9840840611
tau2-bench,DeepSeek V3 (Dec),deepseek-v3,12900866.21316466,0.0,99133.78683533768,22.8,0.228,99133.78683533768
tau2-bench,DeepSeek V3 0324,deepseek-v3-0324,20708259.486422803,0.0,291740.5135771964,47.1,0.471,291740.5135771964
tau2-bench,DeepSeek V3.1,deepseek-v3-1,22817036.01591457,0.0,182963.98408541968,34.8,0.348,182963.98408541968
tau2-bench,DeepSeek V3.1Terminus,deepseek-v3-1-terminus,24756662.57746848,0.0,243337.42253151943,37.1,0.371,243337.42253151943
tau2-bench,DeepSeek V3.2,deepseek-v3-2-reasoning,27699727.761330817,0.0,300272.2386691832,78.9,0.789,300272.2386691832
tau2-bench,DeepSeek V3.2 Exp,deepseek-v3-2-reasoning-0925,24766953.954784807,0.0,233046.0452151929,33.9,0.3389999999999999,233046.0452151929
tau2-bench,DeepSeekV3.1,deepseek-v3-1,21827164.66850517,0.0,172835.331494831,37.4,0.374,172835.331494831
tau2-bench,DeepSeekV3.1Terminus,deepseek-v3-1-terminus,24756662.57746848,0.0,243337.42253151943,37.1,0.371,243337.42253151943
tau2-bench,DeepSeekV3.2,deepseek-v3-2-reasoning,28331709.919381943,376720.0645494798,291570.0160685771,90.6,0.906,668290.0806180569
tau2-bench,DeepSeekV3.2 Exp,deepseek-v3-2-reasoning-0925,24766953.954784807,0.0,233046.0452151929,33.9,0.3389999999999999,233046.0452151929
tau2-bench,DeepSeekV3.2Speciale,deepseek-v3-2-speciale,,,,0.0,0.0,
tau2-bench,Devstral 2,devstral-2,19827436.10236491,0.0,172563.89763509162,24.9,0.249,172563.89763509162
tau2-bench,Devstral Medium,devstral-medium,38890797.027668834,0.0,109202.97233116555,19.9,0.1989999999999999,109202.97233116555
tau2-bench,Devstral Small,devstral-small,39708173.42701381,0.0,291826.57298618864,28.4,0.284,291826.57298618864
tau2-bench,Devstral Small 2,devstral-small-2,31848393.18001572,0.0,151606.81998428563,23.4,0.2339999999999999,151606.81998428563
tau2-bench,Devstral Small(May),devstral-small-2505,30834632.544073712,0.0,165367.45592628862,38.0,0.38,165367.45592628862
tau2-bench,Doubao SeedCode,doubao-seed-code,22306801.535252184,421641.6315478605,271556.8331999549,58.2,0.5820000000000001,693198.4647478154
tau2-bench,ERNIE 4.5 300BA47B,ernie-4-5-300b-a47b,,,,0.0,0.0,
tau2-bench,ERNIE 5.0ThinkingPreview,ernie-5-0-thinking-preview,25397954.586198933,281006.7201537479,321038.6936473176,83.9,0.8390000000000001,602045.4138010654
tau2-bench,EXAONE 4.0 32B,exaone-4-0-32b,50700354.941718176,0.0,299645.05828182603,4.1,0.0409999999999999,299645.05828182603
tau2-bench,EXAONE 4.032B,exaone-4-0-32b,27361044.42564476,1485519.9749263478,153435.5994288923,17.3,0.173,1638955.5743552402
tau2-bench,Exaone 4.0 1.2B,exaone-4-0-1-2b,25863472.326902296,0.0,136527.6730977009,20.5,0.205,136527.6730977009
tau2-bench,Exaone 4.01.2B,exaone-4-0-1-2b,17462067.501075156,388039.3080073728,149893.19091747122,16.4,0.1639999999999999,537932.498924844
tau2-bench,Falcon-H1R-7B,falcon-h1r-7b,27639702.81828731,980575.1373491609,379722.04436352826,27.8,0.278,1360297.181712689
tau2-bench,GLM 5V Turbo,glm-5v-turbo,23576329.97976381,158399.62869211662,265270.39154407626,98.5,0.985,423670.02023619285
tau2-bench,GLM-4.5,glm-4.5,27709036.800467167,47.436799768369866,290915.76273306325,43.0,0.43,290963.1995328316
tau2-bench,GLM-4.5-Air,glm-4-5-air,25652060.830283742,40805.71523994601,307133.4544763076,46.5,0.465,347939.16971625364
tau2-bench,GLM-4.5V,glm-4-5v,17723261.4074262,46427.404658037725,230311.1879157608,22.5,0.225,276738.5925737985
tau2-bench,GLM-4.6,glm-4-6-reasoning,26724150.24788584,0.0,275849.75211416016,76.9,0.769,275849.75211416016
tau2-bench,GLM-4.6V,glm-4-6v-reasoning,26753626.62788074,0.0,246373.37211925827,31.6,0.316,246373.37211925827
tau2-bench,GLM-4.7,glm-4-7-non-reasoning,24747614.878768977,0.0,252385.12123102407,95.9,0.959,252385.12123102407
tau2-bench,GLM-4.7-Flash,glm-4-7-flash,24749127.55712981,0.0,250872.4428701861,98.8,0.988,250872.4428701861
tau2-bench,GLM-5,glm-5,25566012.13362152,180854.27061496585,253133.5957635135,98.2,0.982,433987.86637847935
tau2-bench,GLM-5-Turbo,glm-5-turbo,23594076.110268727,157875.03460786084,248048.85512341224,98.5,0.985,405923.88973127306
tau2-bench,GLM-5.1,glm-5-1,24571576.42659605,171702.08083208418,256721.4925718662,97.7,0.977,428423.5734039504
tau2-bench,GPT-4.1,gpt-4-1,22842019.40649801,0.0,157980.59350198702,47.1,0.471,157980.59350198702
tau2-bench,GPT-4.1 mini,gpt-4-1-mini,30865001.18601473,0.0,134998.81398526105,52.9,0.529,134998.81398526105
tau2-bench,GPT-4.1 nano,gpt-4-1-nano,53859720.60063379,0.0,140279.39936621016,17.3,0.173,140279.39936621016
tau2-bench,GPT-4o (Aug),gpt-4o-2024-08-06,23808543.623671222,0.0,191456.37632877263,28.9,0.289,191456.37632877263
tau2-bench,GPT-4o (Nov),gpt-4o,28902012.07356645,0.0,97987.92643354564,25.1,0.251,97987.92643354564
tau2-bench,GPT-5 (ChatGPT),gpt-5-chatgpt,,,,0.0,0.0,
tau2-bench,GPT-5 (high),gpt-5,22558051.534292992,2253088.9450619463,188859.5206450608,84.8,0.848,2441948.465707007
tau2-bench,GPT-5 (low),gpt-5-low,20495259.165369272,334779.388603102,169961.446027625,84.2,0.8420000000000001,504740.834630727
tau2-bench,GPT-5 (minimal),gpt-5-minimal,26775937.168986764,0.0,224062.8310132374,67.0,0.67,224062.8310132374
tau2-bench,GPT-5 Codex(high),gpt-5-codex,12608479.056965316,201511.1420805674,190009.8009541182,86.8,0.868,391520.9430346856
tau2-bench,GPT-5 mini(high),gpt-5-mini,29494410.660188623,3150636.0201669657,354953.3196444109,68.4,0.684,3505589.3398113768
tau2-bench,GPT-5 mini(medium),gpt-5-mini-medium,27722829.638392404,941456.9689794916,335713.3926281053,71.1,0.711,1277170.361607597
tau2-bench,GPT-5 mini(minimal),gpt-5-mini-minimal,41716944.735659726,0.0,283055.26434027724,31.9,0.319,283055.26434027724
tau2-bench,GPT-5 nano(high),gpt-5-nano,14590498.14028401,5069861.239004369,339640.62071162206,36.5,0.365,5409501.859715991
tau2-bench,GPT-5 nano(medium),gpt-5-nano-medium,45185512.82795032,2577319.83200063,237167.3400490499,30.4,0.304,2814487.17204968
tau2-bench,GPT-5 nano(minimal),gpt-5-nano-minimal,35587033.31051533,0.0,412966.68948467006,25.7,0.257,412966.68948467006
tau2-bench,GPT-5(medium),gpt-5-medium,21819080.09945424,1000701.4892606692,180218.41128509323,86.5,0.865,1180919.9005457624
tau2-bench,GPT-5.1,gpt-5-1-non-reasoning,13624757.03210284,0.0,375242.9678971596,46.5,0.465,375242.9678971596
tau2-bench,GPT-5.1(high),gpt-5-1,14434754.64279222,1222777.6851104116,342467.6720973697,81.9,0.8190000000000001,1565245.3572077812
tau2-bench,GPT-5.1Codex (high),gpt-5-1-codex,24600619.30452312,199603.46951973747,199777.2259571463,83.0,0.83,399380.6954768838
tau2-bench,GPT-5.1Codex mini(high),gpt-5-1-codex-mini,22538585.487090573,276022.9054647252,185391.60744470087,62.9,0.629,461414.5129094261
tau2-bench,GPT-5.2,gpt-5-2-non-reasoning,19820292.02545863,0.0,179707.97454137096,46.5,0.465,179707.97454137096
tau2-bench,GPT-5.2(medium),gpt-5-2-medium,21699594.29678894,106675.90024798924,193729.80296307185,74.3,0.743,300405.7032110611
tau2-bench,GPT-5.2(xhigh),gpt-5-2,23660838.182417937,1112422.246684376,226739.57089768656,84.8,0.848,1339161.8175820624
tau2-bench,GPT-5.2Codex(xhigh),gpt-5-2-codex,71566973.4695857,288983.23303557374,144043.2973787215,92.1,0.921,433026.53041429527
tau2-bench,GPT-5.3Codex(xhigh),gpt-5-3-codex,21183349.80541513,652117.6248521167,164532.56973274928,86.0,0.86,816650.1945848659
tau2-bench,GPT-5.4 mini,gpt-5-4-mini-non-reasoning,14906562.592956636,0.0,93437.407043363,23.4,0.2339999999999999,93437.407043363
tau2-bench,GPT-5.4 mini(medium),gpt-5-4-mini-medium,95670078.78994766,232397.47539766505,97523.73465467544,36.5,0.365,329921.2100523405
tau2-bench,GPT-5.4 mini(xhigh),gpt-5-4-mini,20090459.940607093,2782800.751198141,126739.3081947657,83.3,0.833,2909540.0593929067
tau2-bench,GPT-5.4 nano,gpt-5-4-nano-medium,79482429.33302978,320379.25934462727,197191.40762559325,52.6,0.526,517570.6669702205
tau2-bench,GPT-5.4 nano(xhigh),gpt-5-4-nano,24434406.70703717,2353642.900997674,211950.3919651576,76.0,0.76,2565593.2929628314
tau2-bench,GPT-5.4(Non-reasoning),gpt-5-4-non-reasoning,15877444.142551113,0.0,122555.85744888906,35.1,0.351,122555.85744888906
tau2-bench,GPT-5.4(xhigh),gpt-5-4,20884216.636959765,954204.0047094624,161579.3583307736,87.1,0.871,1115783.363040236
tau2-bench,Gemini 2.0 Flash,gemini-2-0-flash,19843018.725256067,0.0,156981.2747439345,29.5,0.295,156981.2747439345
tau2-bench,Gemini 2.5 Flash,gemini-2-5-flash-reasoning-04-2025,3886055.6269185897,0.0,13944.37308141047,14.9,0.149,13944.37308141047
tau2-bench,Gemini 2.5 Flash(Sep),gemini-2-5-flash-preview-09-2025,19840365.16647105,0.0,159634.83352895296,28.4,0.284,159634.83352895296
tau2-bench,Gemini 2.5Flash,gemini-2-5-flash-reasoning-04-2025,17552428.309916325,342822.63418349647,104749.05590017932,31.6,0.316,447571.6900836758
tau2-bench,Gemini 2.5Flash (Sep),gemini-2-5-flash-preview-09-2025,23677871.070640787,149482.62445300876,172646.30490620423,45.6,0.456,322128.929359213
tau2-bench,Gemini 2.5Flash-Lite,gemini-2-5-flash-lite-reasoning,19913830.264628235,0.0,86169.73537176539,19.0,0.19,86169.73537176539
tau2-bench,Gemini 2.5Flash-Lite (Sep),gemini-2-5-flash-lite-preview-09-2025-reasoning,20767371.31400633,0.0,232628.68599366964,30.4,0.304,232628.68599366964
tau2-bench,Gemini 2.5Flash-Lite(Sep),gemini-2-5-flash-lite-preview-09-2025-reasoning,18354880.908106424,457339.7817856766,187779.3101078985,30.7,0.307,645119.0918935752
tau2-bench,Gemini 2.5Pro,gemini-2-5-pro,21141250.247932497,737296.7093508148,121453.0427166875,54.1,0.541,858749.7520675024
tau2-bench,Gemini 3 Flash,gemini-3-flash-reasoning,23837602.35058847,0.0,162397.6494115296,43.3,0.433,162397.6494115296
tau2-bench,Gemini 3 ProPreview(high),gemini-3-pro,21880980.219069578,975057.8048182968,143961.97611212614,87.1,0.871,1119019.780930423
