benchmark,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
artificial-analysis-long-context-reasoning,Apertus 70BInstruct,apertus-70b-instruct,,,,0.0,0.0,
artificial-analysis-long-context-reasoning,Apertus 8BInstruct,apertus-8b-instruct,,,,0.0,0.0,
artificial-analysis-long-context-reasoning,Apriel-v1.5-15B-Thinker,apriel-v1-5-15b-thinker,9444690.98715945,235425.03356216743,19883.979278383315,20.0,0.2,255309.0128405508
artificial-analysis-long-context-reasoning,Apriel-v1.6-15B-Thinker,apriel-v1-6-15b-thinker,9190315.43694295,808286.0448825014,1398.5181745487514,50.3,0.503,809684.5630570501
artificial-analysis-long-context-reasoning,Claude 3 Haiku,claude-3-haiku,9384151.632174218,0.0,15848.367825782818,21.0,0.21,15848.367825782818
artificial-analysis-long-context-reasoning,Claude 3.5 Haiku,claude-3-5-haiku,9482757.748662151,0.0,17242.25133784706,23.3,0.233,17242.25133784706
artificial-analysis-long-context-reasoning,Claude 3.7 Sonnet,claude-3-7-sonnet,9469021.016004331,0.0,30978.98399566857,48.3,0.483,30978.98399566857
artificial-analysis-long-context-reasoning,Claude 3.7Sonnet,claude-3-7-sonnet,9041791.703413518,133351.2331028583,24857.063483624104,60.7,0.607,158208.2965864824
artificial-analysis-long-context-reasoning,Claude 4 Opus,claude-4-opus-thinking,6978301.8589026,0.0,21698.141097400352,36.0,0.36,21698.141097400352
artificial-analysis-long-context-reasoning,Claude 4 Sonnet,claude-4-sonnet,9572526.7136274,0.0,27473.286372600425,44.3,0.4429999999999999,27473.286372600425
artificial-analysis-long-context-reasoning,Claude 4.1Opus,claude-4-1-opus-thinking,,,,66.3,0.6629999999999999,
artificial-analysis-long-context-reasoning,Claude 4.5 Haiku,claude-4-5-haiku-reasoning,9475266.135299752,0.0,24733.864700246235,43.7,0.437,24733.864700246235
artificial-analysis-long-context-reasoning,Claude 4.5 Sonnet,claude-4-5-sonnet-thinking,9475467.437151318,0.0,24532.562848681453,51.3,0.513,24532.562848681453
artificial-analysis-long-context-reasoning,Claude 4.5Haiku,claude-4-5-haiku-reasoning,9463315.446492406,316207.80280221126,20476.75070538248,70.3,0.703,336684.5535075937
artificial-analysis-long-context-reasoning,Claude 4.5Sonnet,claude-4-5-sonnet-thinking,9432408.927175475,148319.68873915786,19271.38408536674,65.7,0.657,167591.0728245246
artificial-analysis-long-context-reasoning,Claude 4Opus,claude-4-opus-thinking,,,,33.7,0.337,
